,ZCTA,OWN,RENT
14811,ZCTA5 45681,82.5,17.5
14812,ZCTA5 45682,80.7,19.3
14813,ZCTA5 45684,79.8,20.2
14814,ZCTA5 45685,72.1,27.9
14815,ZCTA5 45686,83.0,17.0
14816,ZCTA5 45688,90.4,9.6
14817,ZCTA5 45690,69.2,30.8
14818,ZCTA5 45692,64.3,35.7
14819,ZCTA5 45693,73.3,26.7
14820,ZCTA5 45694,74.4,25.6
14821,ZCTA5 45695,86.9,13.1
14822,ZCTA5 45696,75.3,24.7
14823,ZCTA5 45697,78.0,22.0
14824,ZCTA5 45698,75.1,24.9
14825,ZCTA5 45701,45.1,54.9
14826,ZCTA5 45710,78.1,21.9
14827,ZCTA5 45711,88.6,11.4
14828,ZCTA5 45714,68.8,31.2
14829,ZCTA5 45715,78.3,21.7
14830,ZCTA5 45716,78.4,21.6
14831,ZCTA5 45719,58.6,41.4
14832,ZCTA5 45721,100.0,0.0
14833,ZCTA5 45723,83.7,16.3
14834,ZCTA5 45724,91.6,8.4
14835,ZCTA5 45727,39.9,60.1
14836,ZCTA5 45729,82.4,17.6
14837,ZCTA5 45732,67.8,32.2
14838,ZCTA5 45734,91.4,8.6
14839,ZCTA5 45735,86.0,14.0
14840,ZCTA5 45740,76.4,23.6
14841,ZCTA5 45741,90.8,9.2
14842,ZCTA5 45742,82.3,17.7
14843,ZCTA5 45743,84.1,15.9
14844,ZCTA5 45744,89.1,10.9
14845,ZCTA5 45745,77.7,22.3
14846,ZCTA5 45746,57.9,42.1
14847,ZCTA5 45750,70.3,29.7
14848,ZCTA5 45760,70.3,29.7
14849,ZCTA5 45761,75.5,24.5
14850,ZCTA5 45764,58.8,41.2
14851,ZCTA5 45766,78.9,21.1
14852,ZCTA5 45767,72.2,27.8
14853,ZCTA5 45768,94.3,5.7
14854,ZCTA5 45769,78.3,21.7
14855,ZCTA5 45770,100.0,0.0
14856,ZCTA5 45771,84.7,15.3
14857,ZCTA5 45772,74.8,25.2
14858,ZCTA5 45773,68.8,31.2
14859,ZCTA5 45775,75.7,24.3
14860,ZCTA5 45776,69.1,30.9
14861,ZCTA5 45778,73.4,26.6
14862,ZCTA5 45779,74.2,25.8
14863,ZCTA5 45780,48.4,51.6
14864,ZCTA5 45782,75.2,24.8
14865,ZCTA5 45784,85.6,14.4
14866,ZCTA5 45786,86.8,13.2
14867,ZCTA5 45787,0,0
14868,ZCTA5 45788,87.1,12.9
14869,ZCTA5 45789,100.0,0.0
14870,ZCTA5 45801,55.7,44.3
14871,ZCTA5 45804,53.6,46.4
14872,ZCTA5 45805,65.4,34.6
14873,ZCTA5 45806,82.6,17.4
14874,ZCTA5 45807,84.2,15.8
14875,ZCTA5 45808,69.2,30.8
14876,ZCTA5 45809,63.0,37.0
14877,ZCTA5 45810,63.2,36.8
14878,ZCTA5 45812,77.7,22.3
14879,ZCTA5 45813,78.2,21.8
14880,ZCTA5 45814,79.5,20.5
14881,ZCTA5 45816,75.7,24.3
14882,ZCTA5 45817,78.4,21.6
14883,ZCTA5 45819,52.7,47.3
14884,ZCTA5 45820,88.4,11.6
14885,ZCTA5 45821,92.0,8.0
14886,ZCTA5 45822,75.1,24.9
14887,ZCTA5 45826,77.4,22.6
14888,ZCTA5 45827,91.3,8.7
14889,ZCTA5 45828,82.3,17.7
14890,ZCTA5 45830,81.7,18.3
14891,ZCTA5 45831,87.0,13.0
14892,ZCTA5 45832,88.8,11.2
14893,ZCTA5 45833,77.2,22.8
14894,ZCTA5 45835,86.7,13.3
14895,ZCTA5 45836,87.5,12.5
14896,ZCTA5 45838,100.0,0.0
14897,ZCTA5 45840,67.0,33.0
14898,ZCTA5 45841,92.6,7.4
14899,ZCTA5 45843,79.0,21.0
14900,ZCTA5 45844,91.7,8.3
14901,ZCTA5 45845,84.8,15.2
14902,ZCTA5 45846,88.0,12.0
14903,ZCTA5 45849,75.9,24.1
14904,ZCTA5 45850,87.2,12.8
14905,ZCTA5 45851,85.8,14.2
14906,ZCTA5 45853,83.8,16.2
14907,ZCTA5 45854,75.8,24.2
14908,ZCTA5 45855,82.9,17.1
14909,ZCTA5 45856,81.7,18.3
14910,ZCTA5 45858,81.5,18.5
14911,ZCTA5 45859,68.8,31.2
14912,ZCTA5 45860,95.3,4.7
14913,ZCTA5 45861,71.6,28.4
14914,ZCTA5 45862,83.0,17.0
14915,ZCTA5 45863,88.9,11.1
14916,ZCTA5 45864,88.3,11.7
14917,ZCTA5 45865,81.6,18.4
14918,ZCTA5 45866,79.4,20.6
14919,ZCTA5 45867,82.6,17.4
14920,ZCTA5 45868,89.4,10.6
14921,ZCTA5 45869,80.5,19.5
14922,ZCTA5 45870,34.6,65.4
14923,ZCTA5 45871,83.0,17.0
14924,ZCTA5 45872,65.0,35.0
14925,ZCTA5 45873,79.1,20.9
14926,ZCTA5 45874,82.9,17.1
14927,ZCTA5 45875,82.9,17.1
14928,ZCTA5 45876,85.6,14.4
14929,ZCTA5 45877,77.6,22.4
14930,ZCTA5 45879,75.2,24.8
14931,ZCTA5 45880,76.3,23.7
14932,ZCTA5 45881,89.1,10.9
14933,ZCTA5 45882,83.9,16.1
14934,ZCTA5 45883,74.4,25.6
14935,ZCTA5 45884,69.4,30.6
14936,ZCTA5 45885,67.5,32.5
14937,ZCTA5 45886,80.2,19.8
14938,ZCTA5 45887,85.3,14.7
14939,ZCTA5 45888,54.5,45.5
14940,ZCTA5 45889,97.8,2.2
14941,ZCTA5 45890,82.8,17.2
14942,ZCTA5 45891,73.7,26.3
14943,ZCTA5 45894,84.6,15.4
14944,ZCTA5 45895,77.8,22.2
14945,ZCTA5 45896,84.7,15.3
14946,ZCTA5 45897,0.0,100.0
14947,ZCTA5 45898,93.4,6.6
14948,ZCTA5 45899,85.3,14.7
14949,ZCTA5 46001,72.0,28.0
14950,ZCTA5 46011,81.6,18.4
14951,ZCTA5 46012,70.2,29.8
14952,ZCTA5 46013,66.0,34.0
14953,ZCTA5 46016,45.2,54.8
14954,ZCTA5 46017,82.2,17.8
14955,ZCTA5 46030,74.2,25.8
14956,ZCTA5 46031,78.5,21.5
14957,ZCTA5 46032,69.1,30.9
14958,ZCTA5 46033,92.9,7.1
14959,ZCTA5 46034,79.6,20.4
14960,ZCTA5 46035,80.6,19.4
14961,ZCTA5 46036,71.6,28.4
14962,ZCTA5 46037,88.6,11.4
