,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,18450.0,1.6,13.2,12.0,7.9,3.6
2,ZCTA5 00602,41302.0,0.9,14.5,12.6,8.3,3.5
3,ZCTA5 00603,53683.0,0.7,12.600000000000001,12.100000000000001,9.7,4.9
4,ZCTA5 00606,6591.0,2.1,15.100000000000001,12.7,8.4,3.5
5,ZCTA5 00610,28963.0,1.7,12.7,11.6,9.1,3.6
6,ZCTA5 00612,68055.0,1.9,12.9,11.4,8.7,4.7
7,ZCTA5 00616,10183.0,2.2,13.2,11.100000000000001,10.9,3.2
8,ZCTA5 00617,24879.0,1.2,11.6,10.8,8.4,4.6
9,ZCTA5 00622,6165.0,0.6,13.7,11.8,12.0,6.9
10,ZCTA5 00623,44704.0,1.8,12.0,11.7,10.0,5.0
11,ZCTA5 00624,25340.0,1.4,13.3,11.100000000000001,7.3,3.1
12,ZCTA5 00627,34806.0,1.2,12.899999999999999,11.7,8.8,3.8
13,ZCTA5 00631,1747.0,0.0,14.6,12.1,10.1,13.0
14,ZCTA5 00637,24996.0,2.0,11.399999999999999,11.8,9.6,4.3
15,ZCTA5 00638,18742.0,1.5,14.0,12.0,8.3,3.7
16,ZCTA5 00641,30401.0,1.6,12.7,13.2,9.5,4.2
17,ZCTA5 00646,38303.0,1.3,12.8,11.2,7.8,3.0
18,ZCTA5 00647,5640.0,2.0,9.3,14.8,9.7,7.199999999999999
19,ZCTA5 00650,14969.0,1.0,12.1,11.7,7.8,3.9000000000000004
20,ZCTA5 00652,3461.0,1.3,10.3,11.899999999999999,6.5,6.5
21,ZCTA5 00653,13461.0,1.1,11.2,12.2,10.7,3.4000000000000004
22,ZCTA5 00656,21172.0,1.3,12.0,12.0,8.7,3.9000000000000004
23,ZCTA5 00659,41932.0,1.5,12.8,11.2,9.1,3.6
24,ZCTA5 00660,17151.0,1.9,11.5,11.6,11.5,6.4
25,ZCTA5 00662,43535.0,1.7,12.3,11.8,9.5,3.9000000000000004
26,ZCTA5 00664,16508.0,1.4,12.0,11.399999999999999,6.800000000000001,2.9
27,ZCTA5 00667,25797.0,2.1,11.8,13.100000000000001,10.4,4.5
28,ZCTA5 00669,28984.0,1.8,12.7,12.0,8.4,3.8
29,ZCTA5 00670,9689.0,0.3,13.600000000000001,11.899999999999999,9.2,5.4
30,ZCTA5 00674,43848.0,1.4,12.4,12.100000000000001,8.7,4.6
31,ZCTA5 00676,39916.0,1.6,13.100000000000001,11.3,7.6,3.2
32,ZCTA5 00677,15108.0,1.4,13.5,12.5,11.2,4.8
33,ZCTA5 00678,27229.0,1.3,13.3,11.2,8.5,3.5
34,ZCTA5 00680,56003.0,1.7,11.899999999999999,11.5,9.3,4.9
35,ZCTA5 00682,32509.0,1.4,10.2,11.399999999999999,8.8,5.6
36,ZCTA5 00683,33442.0,2.0,12.1,12.0,10.2,5.0
37,ZCTA5 00685,41947.0,1.9,12.600000000000001,12.6,10.2,4.5
38,ZCTA5 00687,32609.0,1.5,12.8,10.7,6.7,2.8
39,ZCTA5 00688,13340.0,1.2,12.5,10.5,10.9,4.0
40,ZCTA5 00690,6299.0,1.1,7.9,11.100000000000001,8.0,5.300000000000001
41,ZCTA5 00692,37618.0,1.6,12.399999999999999,10.7,8.1,3.2
42,ZCTA5 00693,60211.0,1.1,13.0,11.0,8.5,4.1
43,ZCTA5 00694,157.0,0.0,0.0,39.4,45.5,0.0
44,ZCTA5 00698,41179.0,1.9,13.0,12.6,8.7,3.6999999999999997
45,ZCTA5 00703,29153.0,0.5,12.5,11.7,7.6000000000000005,4.6
46,ZCTA5 00704,7867.0,0.6,9.5,11.3,5.5,2.1
47,ZCTA5 00705,25373.0,1.9,14.2,11.4,7.8999999999999995,3.5
48,ZCTA5 00707,12070.0,1.9,13.6,12.5,9.6,3.9
49,ZCTA5 00714,19443.0,0.9,11.3,11.4,8.8,3.9000000000000004
50,ZCTA5 00715,4315.0,0.7,12.7,12.3,14.9,4.3
51,ZCTA5 00716,32180.0,1.3,11.0,13.100000000000001,8.1,4.0
52,ZCTA5 00717,17972.0,2.4,10.6,10.2,7.4,4.5
53,ZCTA5 00718,26767.0,1.8,10.9,11.0,8.600000000000001,2.7
54,ZCTA5 00719,30793.0,1.8,13.3,11.5,7.7,3.2
55,ZCTA5 00720,23080.0,1.0,13.7,11.3,6.4,3.6
56,ZCTA5 00723,19017.0,1.2,13.9,13.0,8.8,4.2
57,ZCTA5 00725,90206.0,1.8,11.8,10.8,7.9,4.8
58,ZCTA5 00727,56972.0,0.9,14.5,11.2,8.3,3.5
59,ZCTA5 00728,42692.0,0.9,11.7,10.1,7.5,4.0
60,ZCTA5 00729,54768.0,1.2,12.7,10.600000000000001,7.300000000000001,3.1
61,ZCTA5 00730,37931.0,2.0,11.8,11.2,8.3,5.5
62,ZCTA5 00731,14525.0,1.0,11.6,15.2,11.1,4.300000000000001
63,ZCTA5 00735,13495.0,1.2,11.3,10.7,10.6,5.800000000000001
64,ZCTA5 00736,51576.0,1.4,13.2,11.7,8.5,4.199999999999999
65,ZCTA5 00738,34492.0,1.9,11.7,10.3,9.7,4.5
66,ZCTA5 00739,38673.0,0.9,14.100000000000001,12.4,7.6,3.3
67,ZCTA5 00740,1760.0,0.0,2.1,5.5,9.3,11.2
68,ZCTA5 00741,5025.0,1.6,18.1,14.600000000000001,8.5,4.6
69,ZCTA5 00745,54681.0,1.1,12.7,10.7,8.7,3.8
70,ZCTA5 00751,23430.0,1.8,12.9,12.2,8.6,3.6
71,ZCTA5 00754,40330.0,1.7,13.9,11.7,7.9,3.4
72,ZCTA5 00757,23231.0,0.7,11.4,10.100000000000001,7.6,3.2
73,ZCTA5 00765,9206.0,1.0,13.2,13.2,9.9,5.0
74,ZCTA5 00766,25991.0,1.2,12.600000000000001,11.600000000000001,7.0,3.1
75,ZCTA5 00767,37442.0,1.2,13.6,12.5,8.3,3.5999999999999996
76,ZCTA5 00769,40026.0,1.4,12.7,11.4,7.8,3.3
77,ZCTA5 00771,38504.0,1.7,11.9,11.5,7.8,3.0
78,ZCTA5 00772,21712.0,1.0,13.5,11.5,7.3,3.1
79,ZCTA5 00773,19918.0,0.9,12.0,11.8,9.6,4.7
80,ZCTA5 00775,1478.0,0.5,10.3,13.0,7.3,5.1
81,ZCTA5 00777,40892.0,0.9,11.7,10.2,7.4,3.3
82,ZCTA5 00778,46109.0,1.2,12.899999999999999,10.2,7.3999999999999995,3.0
83,ZCTA5 00780,13418.0,0.6,14.6,11.5,6.6,3.7
84,ZCTA5 00782,18504.0,0.8,14.3,11.1,8.1,4.0
85,ZCTA5 00783,36466.0,0.8,13.5,10.899999999999999,7.9,3.8
86,ZCTA5 00784,43746.0,1.1,12.100000000000001,10.1,7.3,3.4
87,ZCTA5 00786,335.0,0.0,8.1,22.1,11.6,5.2
88,ZCTA5 00791,52760.0,1.4,11.9,12.2,9.1,3.9000000000000004
89,ZCTA5 00794,30688.0,1.2,13.2,10.6,6.3,2.7
