,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,18533.0,1.2,12.7,11.3,7.3,3.5
2,ZCTA5 00602,41930.0,0.7,14.2,12.1,7.5,3.5
3,ZCTA5 00603,54475.0,0.8,12.399999999999999,12.2,8.7,4.5
4,ZCTA5 00606,6386.0,1.9,14.1,12.2,6.0,3.0
5,ZCTA5 00610,29111.0,1.7,12.7,11.4,8.5,3.1999999999999997
6,ZCTA5 00612,70541.0,1.7,12.4,11.6,8.4,4.699999999999999
7,ZCTA5 00616,10617.0,1.6,10.5,11.5,10.2,3.7
8,ZCTA5 00617,24458.0,1.9,11.3,10.8,7.800000000000001,3.4000000000000004
9,ZCTA5 00622,5419.0,0.5,16.7,15.9,14.3,10.2
10,ZCTA5 00623,45314.0,1.7,11.2,11.4,9.2,4.4
11,ZCTA5 00624,26439.0,0.8,12.7,10.5,6.6,3.0999999999999996
12,ZCTA5 00627,35260.0,1.0,12.5,11.5,7.9,3.7
13,ZCTA5 00631,1836.0,1.2,12.3,16.1,5.4,12.6
14,ZCTA5 00637,25511.0,1.4,11.3,11.7,9.0,4.5
15,ZCTA5 00638,19166.0,1.8,13.7,11.1,7.8,3.4
16,ZCTA5 00641,30987.0,1.3,12.6,13.2,8.6,4.5
17,ZCTA5 00646,37942.0,1.3,12.600000000000001,11.3,7.1,2.7
18,ZCTA5 00647,5605.0,1.9,12.399999999999999,14.1,8.7,6.1
19,ZCTA5 00650,15359.0,0.8,11.5,11.2,6.800000000000001,3.4
20,ZCTA5 00652,3378.0,2.1,15.4,7.2,5.5,1.9
21,ZCTA5 00653,14048.0,1.2,10.3,12.4,9.5,3.3
22,ZCTA5 00656,21684.0,1.2,12.1,11.6,8.0,3.6
23,ZCTA5 00659,41843.0,1.1,12.5,11.2,8.4,3.6
24,ZCTA5 00660,17239.0,2.3,11.3,12.1,10.8,5.199999999999999
25,ZCTA5 00662,43600.0,1.3,12.8,11.5,8.6,3.8
26,ZCTA5 00664,16907.0,0.8,12.2,10.5,6.1,3.3
27,ZCTA5 00667,26300.0,1.3,11.8,12.899999999999999,9.7,4.6
28,ZCTA5 00669,30210.0,1.3,12.7,11.3,7.7,4.0
29,ZCTA5 00670,9867.0,0.9,13.2,11.8,8.7,4.4
