,GEO.display-label,PoorFucks,HC02_EST_VC09,HC02_EST_VC10,RichFucks
1,ZCTA5 00601,74.1,12.5,7.9,5.5
2,ZCTA5 00602,78.4,9.8,7.8,4.1
3,ZCTA5 00603,72.8,11.5,9.2,6.4
4,ZCTA5 00606,83.9,13.4,2.7,0.0
5,ZCTA5 00610,79.8,9.8,7.5,3.0000000000000004
6,ZCTA5 00612,67.0,14.4,11.8,6.800000000000001
7,ZCTA5 00616,72.5,12.7,8.5,6.2
8,ZCTA5 00617,75.3,12.5,7.9,4.3
9,ZCTA5 00622,74.9,13.0,9.0,3.0999999999999996
10,ZCTA5 00623,72.7,11.5,9.3,6.3999999999999995
11,ZCTA5 00624,78.30000000000001,11.4,7.3,3.1
12,ZCTA5 00627,72.9,12.3,9.9,4.9
13,ZCTA5 00631,78.0,11.3,2.1,8.5
14,ZCTA5 00637,75.3,11.4,9.4,3.8
15,ZCTA5 00638,80.2,11.6,7.0,1.2
16,ZCTA5 00641,75.60000000000001,12.5,9.2,2.8
17,ZCTA5 00646,53.400000000000006,15.3,14.7,16.6
18,ZCTA5 00647,82.19999999999999,12.1,3.8,1.9000000000000001
19,ZCTA5 00650,80.7,13.5,3.3,2.4
20,ZCTA5 00652,73.5,12.5,10.4,3.6
21,ZCTA5 00653,82.0,11.7,3.8,2.6
22,ZCTA5 00656,77.89999999999999,12.0,7.8,2.3
23,ZCTA5 00659,72.8,12.5,9.3,5.4
24,ZCTA5 00660,70.0,15.8,11.0,3.1
25,ZCTA5 00662,75.69999999999999,11.0,9.1,4.3999999999999995
26,ZCTA5 00664,72.6,14.2,11.0,2.4000000000000004
27,ZCTA5 00667,79.6,12.1,6.6,1.8
28,ZCTA5 00669,81.1,11.1,6.0,1.7
29,ZCTA5 00670,79.9,11.8,7.9,0.5
30,ZCTA5 00674,70.10000000000001,12.2,11.6,6.0
31,ZCTA5 00676,79.0,11.3,6.7,2.9
32,ZCTA5 00677,74.3,12.7,10.4,2.7
33,ZCTA5 00678,75.30000000000001,10.2,11.8,2.6999999999999997
34,ZCTA5 00680,72.89999999999999,12.5,8.6,5.8
35,ZCTA5 00682,64.10000000000001,13.0,9.6,13.4
36,ZCTA5 00683,74.10000000000001,10.9,9.1,5.9
37,ZCTA5 00685,79.5,11.6,6.9,1.9000000000000001
38,ZCTA5 00687,78.0,12.7,6.0,3.4
39,ZCTA5 00688,82.4,10.2,7.3,0.0
40,ZCTA5 00690,76.0,10.5,8.5,5.1
41,ZCTA5 00692,70.9,13.4,9.6,6.1
42,ZCTA5 00693,74.1,10.7,8.8,6.3
43,ZCTA5 00694,100.0,0.0,0.0,0.0
44,ZCTA5 00698,78.10000000000001,10.8,7.4,3.6000000000000005
45,ZCTA5 00703,78.3,11.0,6.7,4.0
46,ZCTA5 00704,78.0,9.4,10.5,2.2
47,ZCTA5 00705,74.5,10.9,10.7,3.9000000000000004
48,ZCTA5 00707,75.4,14.0,7.8,2.8000000000000003
49,ZCTA5 00714,77.2,11.1,6.7,5.0
50,ZCTA5 00715,75.2,9.0,12.0,3.7
51,ZCTA5 00716,60.400000000000006,14.4,14.2,11.0
52,ZCTA5 00717,66.6,15.8,10.3,7.2
53,ZCTA5 00718,71.3,14.1,10.3,4.3
54,ZCTA5 00719,75.7,10.3,10.0,4.0
55,ZCTA5 00720,79.80000000000001,11.0,7.4,1.9
56,ZCTA5 00723,76.7,13.1,8.1,1.9
57,ZCTA5 00725,60.1,13.7,15.7,10.399999999999999
58,ZCTA5 00727,52.400000000000006,16.3,13.6,17.7
59,ZCTA5 00728,66.8,15.4,11.4,6.2
60,ZCTA5 00729,63.3,16.1,10.9,9.6
61,ZCTA5 00730,69.1,12.2,9.5,9.2
62,ZCTA5 00731,72.6,13.4,8.0,6.0
63,ZCTA5 00735,69.7,18.4,8.6,3.3
64,ZCTA5 00736,63.8,15.5,12.8,8.0
65,ZCTA5 00738,65.89999999999999,15.2,12.3,6.5
66,ZCTA5 00739,59.8,15.6,14.3,10.3
67,ZCTA5 00740,70.5,14.9,8.4,6.3
68,ZCTA5 00741,83.3,9.7,5.7,1.2999999999999998
69,ZCTA5 00745,60.10000000000001,18.1,12.1,9.700000000000001
70,ZCTA5 00751,75.0,12.8,9.2,3.1
71,ZCTA5 00754,68.0,13.9,11.8,6.2
72,ZCTA5 00757,68.2,16.2,8.6,7.0
73,ZCTA5 00765,80.5,11.1,5.3,3.1999999999999997
74,ZCTA5 00766,75.1,12.1,8.6,4.300000000000001
75,ZCTA5 00767,73.0,15.5,8.9,2.5
76,ZCTA5 00769,74.9,11.5,8.4,5.3
77,ZCTA5 00771,65.7,13.9,12.1,8.4
78,ZCTA5 00772,75.5,12.0,10.5,1.9000000000000001
79,ZCTA5 00773,65.3,12.4,12.6,9.8
80,ZCTA5 00775,77.0,6.9,14.8,1.2
81,ZCTA5 00777,66.10000000000001,14.1,11.9,8.1
82,ZCTA5 00778,52.2,14.8,16.8,16.200000000000003
83,ZCTA5 00780,61.0,12.7,11.2,15.000000000000002
84,ZCTA5 00782,74.9,11.8,7.7,5.6
85,ZCTA5 00783,74.89999999999999,11.0,10.1,4.0
86,ZCTA5 00784,70.8,11.3,12.1,5.8999999999999995
87,ZCTA5 00786,85.3,7.7,7.0,0.0
88,ZCTA5 00791,68.2,11.2,11.8,8.9
89,ZCTA5 00794,78.0,12.0,6.9,3.0000000000000004
90,ZCTA5 00795,74.4,12.9,8.9,3.9
91,ZCTA5 00901,48.5,12.9,8.5,30.0
92,ZCTA5 00906,100.0,0.0,0.0,0.0
93,ZCTA5 00907,42.0,15.0,15.1,28.0
94,ZCTA5 00909,61.3,12.7,19.4,6.6000000000000005
95,ZCTA5 00911,44.5,12.3,14.4,28.700000000000003
96,ZCTA5 00912,58.7,14.0,12.4,14.9
97,ZCTA5 00913,41.9,6.8,8.8,42.599999999999994
98,ZCTA5 00915,80.8,12.6,4.2,2.4
99,ZCTA5 00917,62.2,15.4,11.3,11.1
100,ZCTA5 00918,35.599999999999994,18.0,17.4,29.099999999999998
101,ZCTA5 00920,53.50000000000001,17.0,14.1,15.4
102,ZCTA5 00921,55.3,16.1,16.2,12.5
103,ZCTA5 00923,63.800000000000004,14.4,11.9,9.9
104,ZCTA5 00924,54.400000000000006,16.9,17.2,11.5
105,ZCTA5 00925,64.99999999999999,13.7,6.5,14.7
106,ZCTA5 00926,39.5,14.9,16.6,29.0
107,ZCTA5 00927,33.5,16.4,12.3,37.9
108,ZCTA5 00934,0.0,0.0,0.0,0.0
109,ZCTA5 00936,0.0,0.0,0.0,0.0
110,ZCTA5 00949,57.6,17.8,15.3,9.3
111,ZCTA5 00950,0.0,0.0,0.0,0.0
112,ZCTA5 00951,100.0,0.0,0.0,0.0
113,ZCTA5 00952,71.69999999999999,13.3,10.3,4.800000000000001
114,ZCTA5 00953,53.1,14.7,17.1,14.9
115,ZCTA5 00956,63.5,16.9,11.7,7.800000000000001
116,ZCTA5 00957,59.3,15.9,14.2,10.5
117,ZCTA5 00959,48.8,18.7,18.1,14.6
118,ZCTA5 00960,0.0,0.0,0.0,0.0
119,ZCTA5 00961,45.00000000000001,17.8,19.0,18.2
120,ZCTA5 00962,68.10000000000001,15.3,11.8,4.800000000000001
121,ZCTA5 00965,80.2,14.6,3.7,1.4
122,ZCTA5 00966,30.2,9.9,15.0,44.900000000000006
123,ZCTA5 00968,32.1,22.7,9.6,35.6
124,ZCTA5 00969,27.3,15.4,17.5,39.7
125,ZCTA5 00971,62.900000000000006,14.1,11.1,11.899999999999999
126,ZCTA5 00976,45.699999999999996,16.9,17.8,19.6
127,ZCTA5 00979,38.3,19.0,20.1,22.5
128,ZCTA5 00982,57.5,17.8,16.6,8.0
129,ZCTA5 00983,50.599999999999994,17.8,19.8,11.799999999999999
130,ZCTA5 00985,56.5,15.9,17.8,9.700000000000001
131,ZCTA5 00987,47.699999999999996,19.6,19.7,12.8
132,ZCTA5 01001,20.9,11.7,18.9,48.5
133,ZCTA5 01002,10.100000000000001,6.0,12.4,71.5
134,ZCTA5 01003,0.0,0.0,0.0,0.0
135,ZCTA5 01005,17.4,7.4,19.0,56.1
136,ZCTA5 01007,17.1,8.9,12.5,61.5
137,ZCTA5 01008,13.600000000000001,10.1,23.1,53.099999999999994
138,ZCTA5 01009,5.6,25.4,7.0,61.900000000000006
139,ZCTA5 01010,19.0,11.4,8.9,60.599999999999994
140,ZCTA5 01011,19.700000000000003,13.6,25.7,41.0
141,ZCTA5 01012,9.6,30.5,28.2,31.7
142,ZCTA5 01013,26.6,14.3,24.5,34.6
143,ZCTA5 01020,23.1,12.2,24.1,40.599999999999994
144,ZCTA5 01022,24.1,21.0,27.7,27.200000000000003
145,ZCTA5 01026,20.900000000000002,12.2,24.0,42.800000000000004
146,ZCTA5 01027,19.7,11.1,18.2,51.0
147,ZCTA5 01028,14.9,8.5,15.6,60.900000000000006
148,ZCTA5 01029,21.299999999999997,11.1,29.8,37.8
149,ZCTA5 01030,13.7,11.1,17.2,57.800000000000004
150,ZCTA5 01031,20.3,19.3,25.8,34.6
151,ZCTA5 01032,21.6,17.2,28.5,32.5
152,ZCTA5 01033,11.399999999999999,11.8,21.7,55.0
153,ZCTA5 01034,17.0,9.8,26.5,46.8
154,ZCTA5 01035,13.7,4.3,19.5,62.599999999999994
155,ZCTA5 01036,11.3,7.9,19.8,61.1
156,ZCTA5 01037,12.6,6.3,14.1,66.8
157,ZCTA5 01038,18.7,12.0,21.9,47.4
158,ZCTA5 01039,19.8,11.3,10.3,58.599999999999994
159,ZCTA5 01040,21.199999999999996,15.6,23.2,40.2
160,ZCTA5 01050,19.2,10.9,18.4,51.599999999999994
161,ZCTA5 01053,7.4,17.4,22.1,52.99999999999999
162,ZCTA5 01054,12.6,6.5,24.1,56.8
163,ZCTA5 01056,23.199999999999996,11.6,18.1,47.199999999999996
164,ZCTA5 01057,19.9,8.6,20.8,50.7
165,ZCTA5 01060,15.4,13.8,19.1,51.8
166,ZCTA5 01062,17.099999999999998,11.0,20.8,51.1
167,ZCTA5 01063,0.0,0.0,0.0,0.0
168,ZCTA5 01066,0.0,0.0,0.0,0.0
169,ZCTA5 01068,15.6,9.8,7.9,66.5
170,ZCTA5 01069,20.2,13.1,21.6,45.0
171,ZCTA5 01070,27.9,9.4,27.4,35.4
172,ZCTA5 01071,17.4,10.6,23.0,49.099999999999994
173,ZCTA5 01072,17.0,12.4,20.0,50.699999999999996
174,ZCTA5 01073,24.0,6.3,15.7,54.099999999999994
175,ZCTA5 01074,0.0,15.5,0.0,84.5
176,ZCTA5 01075,15.4,15.1,21.7,47.7
177,ZCTA5 01077,15.5,11.0,13.1,60.400000000000006
178,ZCTA5 01079,18.0,26.1,8.1,47.699999999999996
179,ZCTA5 01080,34.0,23.2,23.4,19.5
180,ZCTA5 01081,21.2,12.7,23.1,43.1
181,ZCTA5 01082,20.5,9.9,25.5,44.099999999999994
182,ZCTA5 01083,25.3,15.4,24.3,35.0
183,ZCTA5 01084,16.2,22.6,23.7,37.599999999999994
184,ZCTA5 01085,17.1,10.4,19.0,53.50000000000001
185,ZCTA5 01086,0.0,0.0,0.0,0.0
186,ZCTA5 01088,39.9,17.0,16.6,26.300000000000004
187,ZCTA5 01089,20.9,11.4,20.3,47.400000000000006
188,ZCTA5 01092,28.400000000000002,0.0,27.1,44.400000000000006
189,ZCTA5 01093,7.6,6.5,22.8,63.099999999999994
190,ZCTA5 01094,39.7,8.8,23.5,27.900000000000002
191,ZCTA5 01095,17.2,6.6,11.7,64.5
192,ZCTA5 01096,17.4,12.7,27.7,42.2
193,ZCTA5 01097,15.4,0.0,84.6,0.0
194,ZCTA5 01098,22.5,15.0,21.1,41.5
195,ZCTA5 01103,39.7,35.8,0.0,24.6
196,ZCTA5 01104,28.700000000000003,18.5,28.5,24.400000000000002
197,ZCTA5 01105,39.39999999999999,11.9,7.8,40.900000000000006
198,ZCTA5 01106,10.700000000000001,8.7,14.8,65.6
199,ZCTA5 01107,30.199999999999996,14.5,15.9,39.6
200,ZCTA5 01108,22.3,16.3,24.2,37.2
201,ZCTA5 01109,31.700000000000003,16.4,26.5,25.4
202,ZCTA5 01118,19.8,11.1,28.0,41.0
203,ZCTA5 01119,31.6,12.3,23.9,32.2
204,ZCTA5 01128,12.600000000000001,11.3,24.0,52.300000000000004
205,ZCTA5 01129,18.5,14.1,24.5,42.8
206,ZCTA5 01151,34.5,17.8,23.9,23.9
207,ZCTA5 01199,0.0,0.0,0.0,0.0
208,ZCTA5 01201,27.5,12.9,24.9,34.8
209,ZCTA5 01220,24.699999999999996,19.8,22.3,33.2
210,ZCTA5 01222,11.2,14.0,11.9,62.89999999999999
211,ZCTA5 01223,33.99999999999999,15.1,16.8,34.0
212,ZCTA5 01224,0.0,11.4,28.6,60.0
213,ZCTA5 01225,37.300000000000004,8.9,17.4,36.4
214,ZCTA5 01226,23.899999999999995,20.1,18.9,37.0
215,ZCTA5 01229,0.0,26.0,24.0,50.0
216,ZCTA5 01230,20.2,13.5,18.5,47.8
217,ZCTA5 01235,24.099999999999998,14.5,25.5,35.900000000000006
218,ZCTA5 01236,34.7,8.3,10.4,46.7
219,ZCTA5 01237,26.9,8.3,20.5,44.3
220,ZCTA5 01238,17.6,15.6,25.3,41.4
221,ZCTA5 01240,26.9,12.3,21.3,39.5
222,ZCTA5 01242,0.0,24.8,12.8,62.4
223,ZCTA5 01243,22.6,9.4,11.3,56.7
224,ZCTA5 01244,51.2,0.0,41.9,7.0
225,ZCTA5 01245,33.1,9.1,16.4,41.5
226,ZCTA5 01247,30.200000000000003,18.5,21.4,29.9
227,ZCTA5 01253,35.5,4.5,15.9,44.099999999999994
228,ZCTA5 01254,12.100000000000001,11.8,14.0,62.1
229,ZCTA5 01255,28.5,9.1,25.8,36.699999999999996
230,ZCTA5 01256,28.9,14.5,22.5,33.9
231,ZCTA5 01257,21.7,13.4,17.8,47.1
232,ZCTA5 01258,19.4,12.2,23.7,44.599999999999994
233,ZCTA5 01259,23.5,11.7,19.5,45.3
234,ZCTA5 01260,20.9,0.0,41.9,37.3
235,ZCTA5 01262,38.4,9.4,21.2,30.900000000000002
236,ZCTA5 01264,22.7,21.2,7.6,48.5
237,ZCTA5 01266,20.1,11.7,14.2,54.0
