,GEO.display-label,PoorFucks,HC02_EST_VC09,HC02_EST_VC10,RichFucks
1,ZCTA5 00601,75.2,10.9,7.5,6.6
2,ZCTA5 00602,76.8,11.0,7.8,4.3
3,ZCTA5 00603,71.7,11.8,9.5,7.1000000000000005
4,ZCTA5 00606,82.1,13.6,4.3,0.0
5,ZCTA5 00610,79.3,9.4,7.9,3.4
6,ZCTA5 00612,67.0,13.5,12.0,7.3999999999999995
7,ZCTA5 00616,72.4,13.8,7.8,5.9
8,ZCTA5 00617,75.3,12.3,8.3,4.1
9,ZCTA5 00622,74.3,12.2,8.6,4.9
10,ZCTA5 00623,70.2,12.2,10.8,6.9
11,ZCTA5 00624,80.80000000000001,9.8,7.1,2.3000000000000003
12,ZCTA5 00627,70.2,12.8,10.4,6.7
13,ZCTA5 00631,75.1,14.2,2.1,8.5
14,ZCTA5 00637,74.60000000000001,11.5,8.6,5.3
15,ZCTA5 00638,80.80000000000001,10.4,7.4,1.4
16,ZCTA5 00641,73.5,12.8,9.6,4.0
17,ZCTA5 00646,52.5,15.6,15.1,16.7
18,ZCTA5 00647,82.8,11.0,3.7,2.3
19,ZCTA5 00650,79.2,14.3,5.3,1.2
20,ZCTA5 00652,73.9,10.8,10.5,4.9
21,ZCTA5 00653,81.8,11.8,2.8,3.5000000000000004
22,ZCTA5 00656,75.3,13.2,8.1,3.4
23,ZCTA5 00659,70.9,11.7,10.7,6.7
24,ZCTA5 00660,68.69999999999999,15.9,11.1,4.5
25,ZCTA5 00662,74.69999999999999,11.9,8.5,4.8999999999999995
26,ZCTA5 00664,74.6,12.1,10.9,2.3
27,ZCTA5 00667,78.3,12.3,6.2,3.2
28,ZCTA5 00669,82.80000000000001,9.9,5.3,1.9
29,ZCTA5 00670,79.3,12.6,7.6,0.5
30,ZCTA5 00674,69.1,11.9,11.6,7.2
31,ZCTA5 00676,76.4,11.8,7.7,4.1000000000000005
32,ZCTA5 00677,77.2,11.4,8.9,2.6
33,ZCTA5 00678,72.89999999999999,11.9,12.3,2.9
34,ZCTA5 00680,72.1,13.3,7.8,6.799999999999999
35,ZCTA5 00682,63.800000000000004,12.4,10.8,13.0
36,ZCTA5 00683,72.7,11.9,8.9,6.5
37,ZCTA5 00685,79.10000000000001,11.0,7.0,3.0
38,ZCTA5 00687,78.0,12.4,6.4,3.4
39,ZCTA5 00688,83.4,10.1,5.5,0.9
40,ZCTA5 00690,71.4,13.3,7.9,7.3
41,ZCTA5 00692,70.9,12.5,9.9,6.7
42,ZCTA5 00693,73.2,11.3,8.8,6.5
43,ZCTA5 00694,100.0,0.0,0.0,0.0
44,ZCTA5 00698,77.2,11.0,7.5,4.4
45,ZCTA5 00703,78.30000000000001,10.4,6.7,4.7
46,ZCTA5 00704,78.8,7.9,11.3,2.3
47,ZCTA5 00705,73.1,11.6,12.3,2.9000000000000004
48,ZCTA5 00707,74.1,13.8,8.6,3.6
