,ZCTA,marriedPercent
1,ZCTA5 00601,0.5682161426432558
2,ZCTA5 00602,0.5977506665876636
3,ZCTA5 00603,0.5472378525612863
4,ZCTA5 00606,0.46152590383898623
5,ZCTA5 00610,0.5722615891243773
6,ZCTA5 00612,0.5215658365485795
7,ZCTA5 00616,0.5254050343249429
8,ZCTA5 00617,0.4848590205639177
9,ZCTA5 00622,0.4827830223197951
10,ZCTA5 00623,0.5016079440970945
11,ZCTA5 00624,0.5698371040723981
12,ZCTA5 00627,0.6177843179377014
13,ZCTA5 00631,0.569018539976825
14,ZCTA5 00637,0.5092197928653625
15,ZCTA5 00638,0.5983463324048283
16,ZCTA5 00641,0.5466230590062112
17,ZCTA5 00646,0.5640560416666667
18,ZCTA5 00647,0.4864274924471299
19,ZCTA5 00650,0.6481914406481155
20,ZCTA5 00652,0.45026685006877576
21,ZCTA5 00653,0.5226842204605512
22,ZCTA5 00656,0.545413038305972
23,ZCTA5 00659,0.610224849244731
24,ZCTA5 00660,0.5418039215686274
25,ZCTA5 00662,0.5586367707983428
26,ZCTA5 00664,0.5348189582984425
27,ZCTA5 00667,0.512123525814624
28,ZCTA5 00669,0.5637391490088858
29,ZCTA5 00670,0.5806057401812689
30,ZCTA5 00674,0.5436620329181495
31,ZCTA5 00676,0.5932374214876033
32,ZCTA5 00677,0.5778859070244904
33,ZCTA5 00678,0.602696385764337
34,ZCTA5 00680,0.48572496103683044
35,ZCTA5 00682,0.4845404699738904
36,ZCTA5 00683,0.4941541814219559
37,ZCTA5 00685,0.5485466630196937
38,ZCTA5 00687,0.5404980017376194
39,ZCTA5 00688,0.6174803485683799
40,ZCTA5 00690,0.48155857078245146
41,ZCTA5 00692,0.49647792581922934
42,ZCTA5 00693,0.540811940052021
43,ZCTA5 00694,0.1620774647887324
44,ZCTA5 00698,0.52914855197877
45,ZCTA5 00703,0.511334755934916
46,ZCTA5 00704,0.459310413354531
47,ZCTA5 00705,0.5441459243777313
48,ZCTA5 00707,0.5280733424603951
49,ZCTA5 00714,0.5139788903924222
50,ZCTA5 00715,0.36074360341151385
51,ZCTA5 00716,0.4815680841606164
52,ZCTA5 00717,0.3676615207040831
53,ZCTA5 00718,0.45300197669579684
54,ZCTA5 00719,0.5732501880170469
55,ZCTA5 00720,0.5158186787625029
56,ZCTA5 00723,0.4799445196211096
57,ZCTA5 00725,0.48312361562620537
58,ZCTA5 00727,0.5385400321473565
59,ZCTA5 00728,0.5455315876213147
60,ZCTA5 00729,0.5364124308002013
61,ZCTA5 00730,0.4613261477807453
62,ZCTA5 00731,0.5912382627313045
63,ZCTA5 00735,0.49472038592102907
64,ZCTA5 00736,0.5170587669520054
65,ZCTA5 00738,0.4466541583594417
66,ZCTA5 00739,0.5469120728034569
67,ZCTA5 00740,0.3256742857142857
68,ZCTA5 00741,0.5188206806282724
69,ZCTA5 00745,0.5201526738837522
70,ZCTA5 00751,0.4790635226179018
71,ZCTA5 00754,0.5301639374767398
72,ZCTA5 00757,0.465464858044164
73,ZCTA5 00765,0.45246263603385733
74,ZCTA5 00766,0.5276451210641172
75,ZCTA5 00767,0.5364326441927838
76,ZCTA5 00769,0.5114638677685951
77,ZCTA5 00771,0.4979741098077324
78,ZCTA5 00772,0.4499323344610924
79,ZCTA5 00773,0.545669859435253
80,ZCTA5 00775,0.3529732283464567
81,ZCTA5 00777,0.5358047213297946
82,ZCTA5 00778,0.5010838380809596
83,ZCTA5 00780,0.5696418055017435
84,ZCTA5 00782,0.5584837790145243
85,ZCTA5 00783,0.5751170205211958
86,ZCTA5 00784,0.49960378988951293
87,ZCTA5 00786,0.44371597633136095
88,ZCTA5 00791,0.5062698067856152
89,ZCTA5 00794,0.5633528282920589
90,ZCTA5 00795,0.5166691737763808
91,ZCTA5 00901,0.3087435549525102
92,ZCTA5 00906,0.0
93,ZCTA5 00907,0.3992361592604265
94,ZCTA5 00909,0.34215294561933535
95,ZCTA5 00911,0.37842124631992147
96,ZCTA5 00912,0.33924299424184257
97,ZCTA5 00913,0.30667789223454833
98,ZCTA5 00915,0.33069480122324163
99,ZCTA5 00917,0.3812490953545232
100,ZCTA5 00918,0.32612684989429175
101,ZCTA5 00920,0.3686427352372284
102,ZCTA5 00921,0.3877618678049412
103,ZCTA5 00923,0.31948277365896205
104,ZCTA5 00924,0.3849762838880318
105,ZCTA5 00925,0.27413348115299335
106,ZCTA5 00926,0.5245461567074371
107,ZCTA5 00927,0.4701405011506009
108,ZCTA5 00934,0.6947777777777778
109,ZCTA5 00936,0.467
110,ZCTA5 00949,0.5262581479728664
111,ZCTA5 00950,0.0
112,ZCTA5 00951,0.0
113,ZCTA5 00952,0.4830007248127567
114,ZCTA5 00953,0.5700663343407779
115,ZCTA5 00956,0.5177854389180307
116,ZCTA5 00957,0.5560462114226826
117,ZCTA5 00959,0.45820711519845114
118,ZCTA5 00960,0.23202109704641347
119,ZCTA5 00961,0.5448768281229035
120,ZCTA5 00962,0.4226367234348765
121,ZCTA5 00965,0.3721012554585153
122,ZCTA5 00966,0.5789292459103604
123,ZCTA5 00968,0.42511032967032963
124,ZCTA5 00969,0.573989235620311
125,ZCTA5 00971,0.5114455438066465
126,ZCTA5 00976,0.5102555038887289
127,ZCTA5 00979,0.464036997509783
128,ZCTA5 00982,0.4541912035817751
129,ZCTA5 00983,0.46288266557645136
130,ZCTA5 00985,0.5008492845786963
131,ZCTA5 00987,0.5523047988453906
132,ZCTA5 01001,0.5430459189806467
133,ZCTA5 01002,0.6408041553970986
134,ZCTA5 01003,0.7857142857142857
135,ZCTA5 01005,0.5556382699868938
136,ZCTA5 01007,0.7112691841067638
137,ZCTA5 01008,0.7608462757527734
138,ZCTA5 01009,0.5711510574018126
139,ZCTA5 01010,0.650385029617663
140,ZCTA5 01011,0.6792565597667637
141,ZCTA5 01012,0.6685227963525836
142,ZCTA5 01013,0.5015885686723743
143,ZCTA5 01020,0.5745539407868056
144,ZCTA5 01022,0.5019743377483443
145,ZCTA5 01026,0.6364930069930069
146,ZCTA5 01027,0.5834883776091082
147,ZCTA5 01028,0.6754731652521218
148,ZCTA5 01029,0.8047166666666666
149,ZCTA5 01030,0.6772611696331275
150,ZCTA5 01031,0.6592576419213975
151,ZCTA5 01032,0.6688245033112582
152,ZCTA5 01033,0.6515352158390133
