,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,17599.0,1.9,13.6,13.100000000000001,9.6,5.0
2,ZCTA5 00602,39209.0,1.7,14.5,14.4,10.1,4.5
3,ZCTA5 00603,50135.0,1.5,12.8,12.5,11.6,6.1
4,ZCTA5 00606,6304.0,2.8,14.9,13.8,10.3,3.9000000000000004
5,ZCTA5 00610,27590.0,1.3,13.9,12.6,11.0,6.199999999999999
6,ZCTA5 00612,62566.0,2.5,13.3,12.0,11.0,6.3999999999999995
7,ZCTA5 00616,10687.0,3.0,15.6,10.2,13.7,5.4
8,ZCTA5 00617,24508.0,2.1,12.4,11.100000000000001,10.3,5.1
9,ZCTA5 00622,7405.0,3.3,14.2,13.1,14.9,9.5
10,ZCTA5 00623,42321.0,1.7,13.3,11.5,11.2,7.0
11,ZCTA5 00624,23238.0,1.0,12.9,13.0,9.3,5.1
12,ZCTA5 00627,32936.0,2.3,13.9,12.600000000000001,10.8,4.6
13,ZCTA5 00631,1555.0,3.7,11.8,16.0,12.899999999999999,8.8
14,ZCTA5 00637,23610.0,2.1,12.2,12.5,11.7,6.7
15,ZCTA5 00638,17202.0,1.4,12.6,13.899999999999999,10.3,6.1
16,ZCTA5 00641,28332.0,2.3,13.2,14.1,10.899999999999999,5.6
17,ZCTA5 00646,38008.0,1.3,13.8,11.5,9.600000000000001,4.6
18,ZCTA5 00647,5610.0,3.1,14.3,13.4,15.3,7.199999999999999
19,ZCTA5 00650,14664.0,1.6,13.4,10.9,10.5,5.4
20,ZCTA5 00652,3681.0,2.5,12.3,11.1,9.5,5.4
21,ZCTA5 00653,11717.0,0.9,10.4,11.8,11.7,6.6
22,ZCTA5 00656,19546.0,2.0,12.1,12.8,11.0,5.4
23,ZCTA5 00659,40978.0,1.9,13.899999999999999,12.2,10.8,5.3
24,ZCTA5 00660,16474.0,3.2,12.5,12.3,13.4,8.5
25,ZCTA5 00662,41341.0,2.1,13.3,12.5,11.0,5.3
26,ZCTA5 00664,15396.0,2.4,12.8,12.5,9.0,3.2
27,ZCTA5 00667,24089.0,2.8,12.7,13.5,12.8,6.6
28,ZCTA5 00669,26510.0,1.7,13.2,13.100000000000001,10.7,5.8
29,ZCTA5 00670,8797.0,2.0,12.8,13.100000000000001,10.8,5.6
30,ZCTA5 00674,40826.0,2.1,12.600000000000001,13.2,11.0,6.0
31,ZCTA5 00676,37862.0,1.5,13.5,12.600000000000001,9.5,4.5
32,ZCTA5 00677,14569.0,1.7,13.9,13.2,13.0,7.5
33,ZCTA5 00678,26642.0,2.0,14.399999999999999,12.0,10.2,4.8
