,ZCTA,45to65Total,45to65Highschool,45to65Bachelors,Over65Total,Over65Highschool,Over65Bachelors
42,ZCTA5 00693,14882,8918,3056,9662,2723,828
43,ZCTA5 00694,27,15,0,50,13,0
44,ZCTA5 00698,10606,7226,2125,6824,3127,738
45,ZCTA5 00703,7122,4931,1085,4436,1304,250
46,ZCTA5 00704,1747,1102,473,997,525,79
47,ZCTA5 00705,6730,5168,1373,3983,1694,347
48,ZCTA5 00707,3104,2046,605,2090,768,284
49,ZCTA5 00714,4514,3544,793,2979,1567,337
50,ZCTA5 00715,823,541,75,763,214,27
51,ZCTA5 00716,7884,6166,2603,5696,3760,1260
52,ZCTA5 00717,3583,2950,1071,3287,2187,759
53,ZCTA5 00718,5866,4123,1199,3898,1600,375
54,ZCTA5 00719,7999,5704,1048,4481,1637,448
55,ZCTA5 00720,5893,3705,986,2980,882,157
56,ZCTA5 00723,5137,3751,818,3158,1163,207
57,ZCTA5 00725,21652,17543,6364,15217,8314,2383
58,ZCTA5 00727,14279,11786,4874,8738,4703,1479
59,ZCTA5 00728,10233,8185,2605,6183,3518,1012
60,ZCTA5 00729,13413,10099,2498,7285,3228,467
61,ZCTA5 00730,8849,6836,2173,6643,3495,990
62,ZCTA5 00731,3866,2594,774,2567,1140,147
63,ZCTA5 00735,3139,2518,702,2584,1358,208
64,ZCTA5 00736,13082,10175,3209,8385,3642,881
65,ZCTA5 00738,7733,6401,1898,6246,3552,661
66,ZCTA5 00739,10229,8314,2262,5166,2245,541
67,ZCTA5 00740,233,129,20,306,165,46
68,ZCTA5 00741,1588,1224,212,961,567,29
69,ZCTA5 00745,13446,10513,2662,8605,4463,953
70,ZCTA5 00751,5698,4275,979,3705,1607,364
71,ZCTA5 00754,10595,7223,1699,5962,1960,341
72,ZCTA5 00757,5077,3809,1156,3106,1464,277
73,ZCTA5 00765,2496,1772,718,1705,839,170
74,ZCTA5 00766,6401,4329,1143,3377,1171,194
75,ZCTA5 00767,9851,6761,1399,5679,1892,421
76,ZCTA5 00769,10141,7648,1685,5740,2371,474
77,ZCTA5 00771,9481,7312,1713,5474,2331,355
78,ZCTA5 00772,5475,4136,662,2887,1348,131
79,ZCTA5 00773,4796,3772,844,3401,1752,402
80,ZCTA5 00775,412,247,47,259,136,23
81,ZCTA5 00777,9335,6825,1888,5408,2590,534
82,ZCTA5 00778,11630,9730,3911,6074,2968,1023
83,ZCTA5 00780,3220,2484,1085,1793,697,184
84,ZCTA5 00782,4860,3096,623,2677,869,226
85,ZCTA5 00783,9000,6578,1266,5153,1635,422
86,ZCTA5 00784,10231,7777,2350,6258,3404,680
87,ZCTA5 00786,92,92,0,131,52,0
88,ZCTA5 00791,13110,10149,3104,8666,4502,1161
89,ZCTA5 00794,7539,5349,1332,3723,1334,250
90,ZCTA5 00795,11512,8700,2357,6768,2728,515
91,ZCTA5 00901,1677,1271,759,1229,772,286
92,ZCTA5 00906,11,11,11,6,6,6
93,ZCTA5 00907,5000,4130,2500,4193,3248,1755
94,ZCTA5 00909,1376,1097,442,958,554,243
95,ZCTA5 00911,1941,1662,892,2158,1663,893
96,ZCTA5 00912,1550,1198,485,1056,658,249
97,ZCTA5 00913,1690,1168,285,756,399,152
98,ZCTA5 00915,7821,4721,668,4603,1780,410
99,ZCTA5 00917,5029,3615,1159,4270,2002,566
100,ZCTA5 00918,3632,3261,1962,3669,2774,1365
101,ZCTA5 00920,4905,4112,1611,3657,2329,835
102,ZCTA5 00921,9543,7642,2689,6373,3899,1186
103,ZCTA5 00923,6827,4879,1438,4458,2229,734
104,ZCTA5 00924,12900,10165,3521,9466,5545,1777
105,ZCTA5 00925,1513,926,225,838,482,169
106,ZCTA5 00926,27451,23881,12545,19173,13646,5786
107,ZCTA5 00927,4180,3898,2385,3367,2996,1759
108,ZCTA5 00934,11,11,11,16,16,16
109,ZCTA5 00936,263,114,20,288,136,10
110,ZCTA5 00949,19554,15763,4555,12203,7141,1437
111,ZCTA5 00950,0,0,0,0,0,0
112,ZCTA5 00951,8,8,0,7,0,0
113,ZCTA5 00952,2303,1687,374,1773,836,72
114,ZCTA5 00953,18755,15102,5965,8022,4023,1049
115,ZCTA5 00956,17733,14248,4482,13577,6575,1309
116,ZCTA5 00957,10661,9063,3520,8100,4266,940
117,ZCTA5 00959,12375,11161,4893,8808,5682,1630
118,ZCTA5 00960,341,204,15,31,19,0
119,ZCTA5 00961,8565,7308,3666,5758,3652,1169
120,ZCTA5 00962,5326,3956,818,3015,1430,414
121,ZCTA5 00965,2436,1698,236,1227,359,25
122,ZCTA5 00966,4434,4306,3203,3233,2695,1524
123,ZCTA5 00968,998,982,732,1310,1210,758
124,ZCTA5 00969,11520,10744,7300,7556,6300,3015
125,ZCTA5 00971,8413,6268,2091,4763,1602,373
126,ZCTA5 00976,15202,12923,5725,9924,6165,2024
127,ZCTA5 00979,4771,4343,2434,3628,2711,1456
128,ZCTA5 00982,3883,3369,1126,3169,1952,387
129,ZCTA5 00983,9271,8090,2346,7758,5231,1381
130,ZCTA5 00985,8240,7156,1915,7262,4611,1081
131,ZCTA5 00987,14532,12698,4746,8370,4543,1186
132,ZCTA5 01001,5166,4850,1485,3443,3007,645
133,ZCTA5 01002,5243,5019,3632,3194,3048,2186
134,ZCTA5 01003,54,24,2,1,1,1
135,ZCTA5 01005,1598,1514,431,798,758,203
136,ZCTA5 01007,4968,4694,2014,1915,1600,641
137,ZCTA5 01008,476,461,151,197,191,54
138,ZCTA5 01009,97,64,6,178,137,30
139,ZCTA5 01010,1335,1273,406,576,526,310
140,ZCTA5 01011,527,508,88,146,120,39
141,ZCTA5 01012,242,237,89,78,71,40
142,ZCTA5 01013,5223,4427,619,3277,2145,451
143,ZCTA5 01020,9449,8617,1607,5620,4231,635
144,ZCTA5 01022,675,632,123,505,477,35
145,ZCTA5 01026,379,374,150,189,172,81
146,ZCTA5 01027,5856,5520,1851,2941,2629,589
147,ZCTA5 01028,4909,4785,2067,3240,2876,1003
148,ZCTA5 01029,321,315,47,141,129,49
149,ZCTA5 01030,3712,3503,902,1731,1514,362
150,ZCTA5 01031,366,339,84,260,248,23
151,ZCTA5 01032,235,221,88,88,85,39
152,ZCTA5 01033,2121,2002,771,893,720,120
153,ZCTA5 01034,796,760,230,355,322,122
154,ZCTA5 01035,1597,1594,743,1188,1096,312
155,ZCTA5 01036,1770,1671,662,1141,1048,304
156,ZCTA5 01037,325,311,128,134,134,57
157,ZCTA5 01038,1021,1010,438,574,555,114
158,ZCTA5 01039,563,553,331,203,193,110
159,ZCTA5 01040,9707,7582,2339,5615,3875,1084
160,ZCTA5 01050,839,803,160,341,309,40
161,ZCTA5 01053,542,542,233,527,466,185
162,ZCTA5 01054,628,595,387,473,439,328
163,ZCTA5 01056,6843,5814,1411,3752,2709,402
164,ZCTA5 01057,3312,3096,918,1283,1064,231
165,ZCTA5 01060,3736,3573,2161,2160,1927,1053
166,ZCTA5 01062,3688,3525,2173,1676,1534,776
167,ZCTA5 01063,0,0,0,0,0,0
168,ZCTA5 01066,0,0,0,10,10,10
169,ZCTA5 01068,677,634,256,213,174,49
170,ZCTA5 01069,2899,2719,742,1509,1201,169
171,ZCTA5 01070,237,226,100,117,105,62
172,ZCTA5 01071,519,487,135,206,192,59
173,ZCTA5 01072,583,569,388,172,150,90
174,ZCTA5 01073,2051,1912,519,1095,908,265
175,ZCTA5 01074,50,25,0,0,0,0
176,ZCTA5 01075,4736,4434,1821,3113,2733,996
177,ZCTA5 01077,3104,2835,1176,1666,1390,360
178,ZCTA5 01079,152,127,43,106,106,10
179,ZCTA5 01080,573,466,136,333,245,18
180,ZCTA5 01081,519,494,83,293,236,47
181,ZCTA5 01082,3187,2996,787,1713,1443,277
182,ZCTA5 01083,923,879,74,359,260,57
183,ZCTA5 01084,81,81,51,54,51,32
184,ZCTA5 01085,11297,10680,4005,6211,5164,1452
185,ZCTA5 01086,0,0,0,0,0,0
186,ZCTA5 01088,192,165,74,143,125,36
187,ZCTA5 01089,7933,7173,2181,4199,3401,764
188,ZCTA5 01092,492,446,113,98,82,1
189,ZCTA5 01093,155,143,82,47,44,29
190,ZCTA5 01094,120,114,29,92,69,7
191,ZCTA5 01095,4951,4693,2416,3022,2731,1036
192,ZCTA5 01096,862,819,373,372,345,138
193,ZCTA5 01097,0,0,0,0,0,0
194,ZCTA5 01098,473,446,216,202,163,67
195,ZCTA5 01103,686,389,102,284,154,72
196,ZCTA5 01104,5862,4431,639,2940,1751,248
197,ZCTA5 01105,2518,1468,257,1079,587,137
198,ZCTA5 01106,5098,4949,3598,3217,2932,1640
199,ZCTA5 01107,2328,1301,318,1012,395,60
200,ZCTA5 01108,5872,4378,1309,2546,1798,583
201,ZCTA5 01109,6343,5244,967,3064,2015,424
202,ZCTA5 01118,3724,3419,1219,2349,1820,493
203,ZCTA5 01119,3298,2691,610,2012,1546,258
204,ZCTA5 01128,965,954,284,460,358,50
205,ZCTA5 01129,2177,1940,562,1178,923,191
206,ZCTA5 01151,1948,1472,245,781,490,42
207,ZCTA5 01199,0,0,0,0,0,0
208,ZCTA5 01201,13112,11851,3630,8379,7220,2066
209,ZCTA5 01220,2681,2445,503,1513,1195,294
210,ZCTA5 01222,271,244,79,178,158,60
211,ZCTA5 01223,956,877,252,511,485,265
212,ZCTA5 01224,95,95,19,0,0,0
213,ZCTA5 01225,1119,1059,184,602,527,97
214,ZCTA5 01226,2452,2384,922,1434,1372,278
215,ZCTA5 01229,32,32,20,40,40,8
216,ZCTA5 01230,2485,2290,1103,1896,1631,810
217,ZCTA5 01235,1062,994,293,430,378,77
218,ZCTA5 01236,473,473,301,252,230,113
219,ZCTA5 01237,893,835,289,350,304,99
220,ZCTA5 01238,1963,1868,921,1299,1073,394
221,ZCTA5 01240,1331,1310,740,1677,1520,704
222,ZCTA5 01242,68,67,38,63,63,11
223,ZCTA5 01243,173,173,46,86,79,30
224,ZCTA5 01244,44,44,26,28,20,9
225,ZCTA5 01245,338,332,155,214,207,130
226,ZCTA5 01247,4655,4127,873,2865,2178,528
227,ZCTA5 01253,208,198,45,222,198,78
228,ZCTA5 01254,348,337,198,312,298,156
229,ZCTA5 01255,305,282,122,196,152,55
230,ZCTA5 01256,293,273,45,108,78,14
231,ZCTA5 01257,779,747,181,526,433,264
232,ZCTA5 01258,141,141,69,138,137,80
233,ZCTA5 01259,305,292,133,128,120,79
234,ZCTA5 01260,171,161,22,29,29,0
235,ZCTA5 01262,431,358,128,370,343,183
236,ZCTA5 01264,33,33,16,80,77,39
237,ZCTA5 01266,497,483,225,410,402,224
238,ZCTA5 01267,1600,1525,1154,1558,1405,719
239,ZCTA5 01270,335,330,151,123,116,52
240,ZCTA5 01301,5222,4936,1596,3211,2639,964
241,ZCTA5 01330,580,573,296,241,232,80
242,ZCTA5 01331,4335,3929,734,2016,1544,271
243,ZCTA5 01337,925,868,287,547,511,177
244,ZCTA5 01338,72,72,24,47,42,6
245,ZCTA5 01339,439,417,153,332,307,116
246,ZCTA5 01340,618,572,172,308,275,93
247,ZCTA5 01341,688,681,383,274,262,143
248,ZCTA5 01342,573,570,366,197,164,76
249,ZCTA5 01343,30,30,4,16,12,7
250,ZCTA5 01344,483,464,94,206,184,20
251,ZCTA5 01346,183,176,65,102,91,33
252,ZCTA5 01347,36,36,7,6,6,0
253,ZCTA5 01349,446,439,198,215,127,7
254,ZCTA5 01350,34,34,2,17,14,0
255,ZCTA5 01351,679,678,285,467,414,145
256,ZCTA5 01354,653,628,246,216,197,79
257,ZCTA5 01355,352,342,139,187,182,58
258,ZCTA5 01360,1035,978,422,476,437,171
259,ZCTA5 01364,2661,2414,351,1217,937,186
260,ZCTA5 01366,487,480,197,245,236,95
261,ZCTA5 01367,196,178,55,130,122,43
262,ZCTA5 01368,526,488,84,181,150,39
263,ZCTA5 01370,1435,1359,550,872,782,328
264,ZCTA5 01373,1629,1592,651,701,643,182
265,ZCTA5 01375,820,813,445,305,270,168
266,ZCTA5 01376,1379,1236,301,1025,824,262
267,ZCTA5 01378,320,306,122,153,123,41
268,ZCTA5 01379,334,316,149,150,138,85
269,ZCTA5 01420,9663,8289,2120,5474,3729,647
270,ZCTA5 01430,2180,2094,767,695,636,218
271,ZCTA5 01431,1194,1129,309,427,381,67
272,ZCTA5 01432,2248,2119,700,927,823,166
273,ZCTA5 01434,553,491,141,175,175,111
274,ZCTA5 01436,1150,1059,228,620,416,67
275,ZCTA5 01438,193,175,47,132,132,0
276,ZCTA5 01440,5553,5027,906,3192,2303,439
277,ZCTA5 01450,4014,3993,2831,1450,1401,661
278,ZCTA5 01451,1796,1766,1377,740,728,543
279,ZCTA5 01452,1574,1505,468,500,438,92
280,ZCTA5 01453,12079,10690,3362,6169,4658,1066
281,ZCTA5 01460,3274,3257,2016,1317,1218,416
282,ZCTA5 01462,3885,3635,1418,1657,1378,333
283,ZCTA5 01463,4014,3878,1501,1478,1170,370
284,ZCTA5 01464,2586,2421,704,865,713,188
285,ZCTA5 01467,131,131,123,22,22,15
286,ZCTA5 01468,1266,1198,112,664,567,54
287,ZCTA5 01469,2290,2251,674,863,803,247
288,ZCTA5 01473,2599,2486,1030,891,683,230
289,ZCTA5 01474,793,783,362,178,157,62
290,ZCTA5 01475,3382,3095,575,1535,1169,297
291,ZCTA5 01501,4925,4651,1921,3094,2637,542
292,ZCTA5 01503,983,963,498,577,513,197
293,ZCTA5 01504,3169,2940,880,1051,820,179
294,ZCTA5 01505,1511,1488,899,676,609,231
295,ZCTA5 01506,991,912,260,558,445,62
296,ZCTA5 01507,4544,4445,1420,1589,1304,388
297,ZCTA5 01510,3964,3504,1161,1805,1560,392
298,ZCTA5 01515,673,627,184,383,339,102
299,ZCTA5 01516,2733,2666,948,867,727,198
300,ZCTA5 01518,859,853,449,586,521,46
301,ZCTA5 01519,2022,1970,1007,816,775,403
302,ZCTA5 01520,4568,4382,2526,2170,1983,808
303,ZCTA5 01521,897,849,252,342,299,89
304,ZCTA5 01522,1083,1060,495,397,386,152
305,ZCTA5 01523,2091,2018,689,1069,971,503
306,ZCTA5 01524,2209,2053,550,1101,840,202
307,ZCTA5 01525,51,51,51,14,14,14
308,ZCTA5 01527,4039,3890,1356,2247,1785,313
309,ZCTA5 01529,1045,951,284,359,240,31
310,ZCTA5 01531,442,415,171,135,125,51
311,ZCTA5 01532,4408,4324,2723,2218,2037,840
312,ZCTA5 01534,2177,2097,743,804,662,108
313,ZCTA5 01535,1611,1564,434,673,544,133
314,ZCTA5 01536,2322,2248,1007,913,839,243
315,ZCTA5 01537,574,501,43,272,254,26
316,ZCTA5 01540,3623,3423,676,1358,1202,212
317,ZCTA5 01541,1297,1278,941,447,447,178
318,ZCTA5 01542,697,644,193,399,294,49
319,ZCTA5 01543,2595,2565,1141,887,873,180
320,ZCTA5 01545,10206,9662,5480,4958,4356,1853
321,ZCTA5 01550,4486,3823,756,2608,1801,400
322,ZCTA5 01560,1120,1091,528,466,339,52
323,ZCTA5 01561,38,38,38,35,35,35
324,ZCTA5 01562,3700,3307,995,1789,1460,192
325,ZCTA5 01564,2741,2659,1446,1097,972,376
326,ZCTA5 01566,1903,1854,913,885,731,350
327,ZCTA5 01568,2554,2506,1171,784,697,194
328,ZCTA5 01569,4306,4275,1505,1644,1462,428
329,ZCTA5 01570,4705,4243,1133,2857,1999,313
330,ZCTA5 01571,3217,3011,1117,1363,1078,297
331,ZCTA5 01581,5764,5649,3612,2446,2205,1144
332,ZCTA5 01583,1938,1760,811,1123,1019,403
333,ZCTA5 01585,1481,1426,404,998,861,208
334,ZCTA5 01588,2622,2375,740,1452,1238,242
335,ZCTA5 01590,3069,2976,1346,1213,1017,353
336,ZCTA5 01602,6531,5971,3035,3760,3319,1501
337,ZCTA5 01603,5712,4651,1099,2504,1557,492
338,ZCTA5 01604,8295,7255,2097,4564,3316,592
339,ZCTA5 01605,6312,4994,1414,3409,2578,664
340,ZCTA5 01606,5374,5080,2050,2893,2547,726
341,ZCTA5 01607,2439,2076,585,893,675,122
342,ZCTA5 01608,552,354,82,193,54,14
343,ZCTA5 01609,4518,3648,1700,3084,2349,1133
344,ZCTA5 01610,4642,3078,489,1820,1046,192
345,ZCTA5 01611,873,810,219,271,239,32
346,ZCTA5 01612,1490,1394,849,726,703,312
347,ZCTA5 01701,9683,9430,5438,5616,5239,2707
348,ZCTA5 01702,8785,7013,2821,4058,3321,1267
349,ZCTA5 01718,75,75,75,66,66,66
350,ZCTA5 01719,1843,1843,1470,545,535,329
351,ZCTA5 01720,7891,7750,6378,2687,2510,1592
352,ZCTA5 01721,5396,5250,2784,2149,1913,874
353,ZCTA5 01730,4334,4228,2852,2312,2233,1368
354,ZCTA5 01731,77,77,36,4,4,0
355,ZCTA5 01740,1789,1737,1152,542,526,258
356,ZCTA5 01741,2123,2114,1830,839,798,569
357,ZCTA5 01742,6508,6274,5020,3736,3587,2250
358,ZCTA5 01745,86,86,79,80,80,7
359,ZCTA5 01746,4419,4359,2806,2006,1823,808
360,ZCTA5 01747,1864,1743,730,821,737,160
361,ZCTA5 01748,5273,5152,3605,1473,1412,555
362,ZCTA5 01749,5856,5558,2028,3327,2710,720
363,ZCTA5 01752,11152,9916,4339,5129,4105,1167
364,ZCTA5 01754,3366,3264,1525,1478,1365,511
365,ZCTA5 01756,2099,2073,1044,758,658,231
366,ZCTA5 01757,8411,7941,2995,3610,3007,939
367,ZCTA5 01760,9994,9840,6722,4980,4561,2445
368,ZCTA5 01770,1503,1503,1269,675,647,479
369,ZCTA5 01772,3181,3112,2449,1184,1153,564
370,ZCTA5 01773,1923,1880,1659,1119,1083,908
371,ZCTA5 01775,2304,2303,1460,1032,999,543
372,ZCTA5 01776,6255,6230,5256,2547,2417,1498
373,ZCTA5 01778,4573,4525,3814,2493,2434,1831
374,ZCTA5 01801,10654,10046,3043,5865,5027,1191
375,ZCTA5 01803,7102,6803,3294,4664,4165,1174
376,ZCTA5 01810,10760,10631,8193,5120,4752,2671
377,ZCTA5 01821,9455,9076,2908,4476,3898,585
378,ZCTA5 01824,8200,8000,4212,4365,3966,1616
379,ZCTA5 01826,8751,8293,2435,4015,3177,460
380,ZCTA5 01827,1258,1246,752,446,402,164
381,ZCTA5 01830,7303,6351,1761,3717,2702,644
382,ZCTA5 01832,6466,5795,1821,2657,2043,444
383,ZCTA5 01833,2829,2730,1427,1233,1153,351
384,ZCTA5 01834,2159,2079,857,1263,1188,222
385,ZCTA5 01835,4158,3995,1565,1407,1305,385
386,ZCTA5 01840,1194,723,116,703,242,85
387,ZCTA5 01841,11030,7028,960,4049,1928,326
388,ZCTA5 01843,5650,3909,547,2507,1753,471
389,ZCTA5 01844,13521,12148,3971,6945,5557,1312
390,ZCTA5 01845,8890,8681,5465,4116,3811,1712
391,ZCTA5 01850,3560,2913,468,1538,1133,246
392,ZCTA5 01851,7858,5491,1197,2838,1760,552
393,ZCTA5 01852,9005,7177,2264,3754,2568,694
394,ZCTA5 01854,6234,4677,926,3154,1964,318
395,ZCTA5 01860,2227,2193,992,1051,959,312
396,ZCTA5 01862,3311,3072,915,1418,1082,262
397,ZCTA5 01863,2614,2544,1157,1735,1564,352
398,ZCTA5 01864,5200,5112,2687,2131,1887,577
399,ZCTA5 01867,7636,7563,4722,3604,3297,1110
400,ZCTA5 01876,9412,9093,3132,4838,4112,783
401,ZCTA5 01879,4199,4114,1878,1089,845,302
402,ZCTA5 01880,7783,7500,3312,4093,3514,1163
403,ZCTA5 01886,7819,7676,5645,2737,2507,1156
404,ZCTA5 01887,7204,7010,2741,3249,2818,530
405,ZCTA5 01890,6389,6293,4956,3781,3570,1981
406,ZCTA5 01901,225,157,35,372,185,67
407,ZCTA5 01902,10343,8248,2045,5141,3448,692
408,ZCTA5 01904,5530,5209,1776,2178,1814,314
409,ZCTA5 01905,5807,4664,965,2351,1766,255
410,ZCTA5 01906,8653,8061,2082,5263,4148,801
411,ZCTA5 01907,4479,4350,2566,2565,2347,1034
412,ZCTA5 01908,1217,1204,626,778,714,285
413,ZCTA5 01913,5658,5346,2343,2377,2147,613
414,ZCTA5 01915,11414,10855,5364,6372,5575,1728
415,ZCTA5 01921,2796,2759,1855,1291,1233,527
416,ZCTA5 01922,984,984,684,436,430,167
417,ZCTA5 01923,8327,8006,3268,5249,4658,1416
418,ZCTA5 01929,1125,1104,540,650,602,238
419,ZCTA5 01930,9937,9080,3656,5837,4695,1698
420,ZCTA5 01937,52,36,0,42,35,20
421,ZCTA5 01938,4710,4556,2489,2652,2520,1155
422,ZCTA5 01940,4204,4121,2308,2454,2314,809
423,ZCTA5 01944,1831,1831,1265,1169,1027,526
424,ZCTA5 01945,6780,6671,4827,4203,4078,2309
425,ZCTA5 01949,2690,2600,1195,1397,1292,454
426,ZCTA5 01950,6321,6175,3902,3304,3111,1443
427,ZCTA5 01951,1455,1408,885,808,725,399
428,ZCTA5 01952,3006,2715,898,1514,1260,269
429,ZCTA5 01960,15301,14204,4406,10471,8678,2134
430,ZCTA5 01966,2436,2393,1196,2008,1925,899
431,ZCTA5 01969,2194,2069,800,838,797,219
432,ZCTA5 01970,11430,10229,4068,5447,4718,1342
433,ZCTA5 01982,2391,2381,1537,1157,1027,537
434,ZCTA5 01983,1959,1921,1238,1425,1317,679
435,ZCTA5 01984,1250,1239,988,761,719,329
436,ZCTA5 01985,1569,1556,998,610,578,265
437,ZCTA5 02019,5234,5088,1305,2111,1755,395
438,ZCTA5 02021,6206,6133,3413,3790,3438,1371
439,ZCTA5 02025,2581,2511,1849,1216,1181,542
440,ZCTA5 02026,6984,6683,3214,4799,4315,1711
441,ZCTA5 02030,1928,1905,1691,946,931,690
442,ZCTA5 02032,1277,1277,590,683,534,139
443,ZCTA5 02035,5425,5210,2400,2721,2412,661
444,ZCTA5 02038,9751,9507,5514,3858,3373,902
445,ZCTA5 02043,6574,6491,4652,4608,4440,2612
446,ZCTA5 02045,4099,3954,1651,2180,2033,913
447,ZCTA5 02047,17,17,0,118,118,0
448,ZCTA5 02048,7173,7046,3697,2042,1814,619
449,ZCTA5 02050,8764,8510,4059,3932,3652,1492
450,ZCTA5 02052,4289,4247,3064,1447,1357,697
451,ZCTA5 02053,4499,4422,2507,1542,1272,367
452,ZCTA5 02054,2622,2582,1295,991,937,265
453,ZCTA5 02056,4206,3909,2397,1205,1094,478
454,ZCTA5 02061,3410,3311,1995,1810,1674,661
455,ZCTA5 02062,7895,7595,3046,4880,4323,1337
456,ZCTA5 02066,6008,5855,3622,3078,2963,1219
457,ZCTA5 02067,5884,5831,4743,2484,2325,1348
458,ZCTA5 02071,595,545,193,141,129,35
459,ZCTA5 02072,8281,7575,2707,5055,4142,1056
460,ZCTA5 02081,6080,5751,3250,3259,2893,912
461,ZCTA5 02090,4873,4791,3692,3007,2824,1530
462,ZCTA5 02093,3979,3833,2187,1386,1292,319
463,ZCTA5 02108,816,779,548,653,615,506
464,ZCTA5 02109,802,698,416,623,480,262
465,ZCTA5 02110,619,594,479,618,618,555
466,ZCTA5 02111,1884,1176,582,863,592,411
467,ZCTA5 02113,850,842,447,851,510,238
468,ZCTA5 02114,2107,1950,1436,1348,1227,945
469,ZCTA5 02115,2836,2448,1311,2141,1558,972
470,ZCTA5 02116,4748,4303,3264,3262,2551,1960
471,ZCTA5 02118,6324,4907,2918,2691,1556,786
472,ZCTA5 02119,6621,5076,1452,3070,1577,275
473,ZCTA5 02120,1917,1528,397,1007,626,250
474,ZCTA5 02121,6605,4634,695,2823,1726,484
475,ZCTA5 02122,6341,4644,1187,2294,1482,221
476,ZCTA5 02124,13171,10343,2650,5714,3608,858
477,ZCTA5 02125,7759,5471,1711,2926,1767,466
478,ZCTA5 02126,7593,6275,1057,3593,2216,376
479,ZCTA5 02127,7081,5689,1852,3287,2365,443
480,ZCTA5 02128,9857,6491,1577,3951,2300,384
481,ZCTA5 02129,3864,3327,1966,1709,1395,461
482,ZCTA5 02130,8905,8022,5345,4486,3550,1640
483,ZCTA5 02131,8310,7543,3332,3632,2557,670
484,ZCTA5 02132,8663,8329,5011,5056,4358,1715
485,ZCTA5 02134,2056,1667,649,1184,775,294
486,ZCTA5 02135,5833,4942,2434,4939,3758,1679
487,ZCTA5 02136,8185,7416,2092,4000,2727,537
488,ZCTA5 02138,6234,6098,4999,4302,4050,2911
489,ZCTA5 02139,5789,5141,3370,3137,2454,1355
490,ZCTA5 02140,4213,3887,2536,2322,1955,1261
491,ZCTA5 02141,2223,1945,979,1412,1053,364
492,ZCTA5 02142,323,315,246,331,331,314
493,ZCTA5 02143,3899,3383,1686,2530,1750,561
494,ZCTA5 02144,3838,3462,1787,2552,1933,674
495,ZCTA5 02145,5979,4786,1143,2311,1491,292
496,ZCTA5 02148,15247,12728,3593,7013,4892,1008
497,ZCTA5 02149,10616,8534,1679,5086,3418,492
498,ZCTA5 02150,7425,5135,1083,3388,2093,517
499,ZCTA5 02151,14284,11883,2252,7387,5237,779
500,ZCTA5 02152,5505,5261,1790,3053,2812,721
501,ZCTA5 02155,14179,13132,4874,8240,6189,1578
502,ZCTA5 02163,43,43,29,0,0,0
503,ZCTA5 02169,14554,12418,4542,8343,6843,1571
504,ZCTA5 02170,5928,4895,1687,2652,1957,738
505,ZCTA5 02171,5271,4392,1683,2518,2210,790
506,ZCTA5 02176,7851,7441,4254,4330,3638,1277
507,ZCTA5 02180,6909,6556,2547,3923,3327,933
