,ZCTA,45to65Total,45to65Highschool,45to65Bachelors,Over65Total,Over65Highschool,Over65Bachelors
1,ZCTA5 00601,4757,3032,726,2722,1013,296
2,ZCTA5 00602,11425,7349,2574,5887,1847,664
3,ZCTA5 00603,13454,10228,3405,9244,4261,1237
4,ZCTA5 00606,1607,821,110,1002,346,77
5,ZCTA5 00610,7358,5255,1093,4755,1930,307
6,ZCTA5 00612,16280,12878,4620,11875,6156,1515
7,ZCTA5 00616,2716,2052,448,2195,993,123
8,ZCTA5 00617,5767,4476,767,3969,1442,340
9,ZCTA5 00622,1874,1457,402,1635,767,141
10,ZCTA5 00623,10627,8069,2861,8212,3466,788
11,ZCTA5 00624,6146,4283,949,3413,1466,345
12,ZCTA5 00627,8835,6530,1906,5456,1756,489
13,ZCTA5 00631,399,221,51,413,106,37
14,ZCTA5 00637,5954,4273,1121,4576,2185,530
15,ZCTA5 00638,4815,3169,604,2803,904,134
16,ZCTA5 00641,7946,5626,1484,5098,2147,436
17,ZCTA5 00646,9538,7500,3099,5420,2682,662
18,ZCTA5 00647,1451,1011,269,1421,608,85
19,ZCTA5 00650,3401,2334,380,2294,1036,99
20,ZCTA5 00652,874,599,118,756,383,48
21,ZCTA5 00653,2953,2016,412,2060,889,124
22,ZCTA5 00656,5081,3484,1012,3389,1868,387
23,ZCTA5 00659,10573,7310,2677,6851,2553,459
24,ZCTA5 00660,4155,3190,1068,3940,1995,416
25,ZCTA5 00662,10624,7716,2168,7337,3227,846
26,ZCTA5 00664,3969,2781,616,2096,981,160
27,ZCTA5 00667,6485,3907,1004,5030,1889,420
28,ZCTA5 00669,7153,4470,1288,4655,1521,474
29,ZCTA5 00670,2424,1387,317,1565,382,56
30,ZCTA5 00674,10744,8012,2557,7388,3179,652
31,ZCTA5 00676,10020,6438,1754,5460,1968,398
32,ZCTA5 00677,3971,2774,735,3031,1158,256
33,ZCTA5 00678,7020,5129,1390,4208,1714,302
34,ZCTA5 00680,12384,9248,2530,10929,5050,1219
35,ZCTA5 00682,7494,5815,1967,5849,2989,1066
36,ZCTA5 00683,8165,6065,2119,6734,3106,1052
37,ZCTA5 00685,10724,6728,2089,7701,2344,518
38,ZCTA5 00687,8014,5110,1358,4046,1274,214
39,ZCTA5 00688,3370,2370,580,2098,972,123
40,ZCTA5 00690,1211,937,473,1073,442,158
41,ZCTA5 00692,8801,5973,1738,5396,2205,446
