,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,18544.0,1.2,12.9,11.9,7.7,3.8
2,ZCTA5 00602,41640.0,0.7,14.399999999999999,12.4,7.800000000000001,3.4
3,ZCTA5 00603,54540.0,0.9,12.6,12.1,9.0,4.7
4,ZCTA5 00606,6593.0,2.0,14.399999999999999,12.100000000000001,8.1,3.0
5,ZCTA5 00610,29141.0,2.1,12.899999999999999,11.5,8.8,3.0
6,ZCTA5 00612,69017.0,1.9,12.5,11.5,8.5,4.699999999999999
7,ZCTA5 00616,10750.0,1.6,12.2,11.6,10.9,3.0
8,ZCTA5 00617,24733.0,1.3,11.4,10.8,8.1,4.2
9,ZCTA5 00622,5923.0,0.5,19.1,13.3,13.399999999999999,7.199999999999999
10,ZCTA5 00623,44943.0,2.1,11.0,11.600000000000001,9.5,4.4
11,ZCTA5 00624,26016.0,1.1,13.2,10.8,6.7,2.9
12,ZCTA5 00627,35085.0,1.1,12.7,11.600000000000001,8.3,3.7
13,ZCTA5 00631,1800.0,0.0,14.2,12.100000000000001,8.6,14.0
14,ZCTA5 00637,25312.0,1.8,11.3,11.8,9.2,4.2
15,ZCTA5 00638,18997.0,1.7,13.9,11.5,7.9,3.4
16,ZCTA5 00641,30771.0,1.7,13.0,13.100000000000001,9.2,4.1
17,ZCTA5 00646,38179.0,1.3,12.7,11.3,7.5,2.8
18,ZCTA5 00647,5869.0,1.7,10.899999999999999,12.8,8.5,6.800000000000001
19,ZCTA5 00650,15120.0,0.9,11.3,11.6,7.1,3.3
20,ZCTA5 00652,3244.0,2.1,14.1,10.100000000000001,5.0,5.1
21,ZCTA5 00653,13502.0,1.3,10.7,13.1,10.4,3.1
22,ZCTA5 00656,21438.0,1.2,12.1,11.8,8.399999999999999,3.8
23,ZCTA5 00659,41945.0,1.2,12.7,11.2,8.7,3.6
24,ZCTA5 00660,17217.0,2.3,11.4,11.8,11.100000000000001,5.6
25,ZCTA5 00662,43598.0,1.6,12.3,11.7,8.9,3.8000000000000003
26,ZCTA5 00664,16665.0,0.8,12.100000000000001,10.9,6.5,3.4000000000000004
27,ZCTA5 00667,26102.0,1.6,11.7,13.0,10.2,4.5
28,ZCTA5 00669,29569.0,1.5,12.6,11.7,7.9,3.9
29,ZCTA5 00670,9814.0,0.8,13.6,11.8,9.0,4.8
30,ZCTA5 00674,44365.0,1.5,12.5,11.8,8.3,4.5
31,ZCTA5 00676,40145.0,1.5,12.8,11.100000000000001,7.199999999999999,3.2
32,ZCTA5 00677,15197.0,1.8,13.4,12.399999999999999,10.8,4.1
33,ZCTA5 00678,27419.0,1.2,13.100000000000001,11.4,8.1,3.6
34,ZCTA5 00680,57220.0,1.8,11.8,11.2,9.2,5.1
35,ZCTA5 00682,32899.0,1.4,10.2,11.7,8.2,4.5
36,ZCTA5 00683,33581.0,1.9,12.2,12.100000000000001,9.7,4.9
37,ZCTA5 00685,42552.0,2.0,12.600000000000001,12.6,9.9,4.3
38,ZCTA5 00687,32617.0,1.1,12.7,10.3,6.4,3.1
39,ZCTA5 00688,13036.0,1.5,13.0,9.9,10.5,3.3
40,ZCTA5 00690,6174.0,1.2,8.0,11.8,10.8,3.6
41,ZCTA5 00692,37615.0,1.4,12.4,10.7,7.6000000000000005,3.0
42,ZCTA5 00693,60873.0,0.9,12.8,10.9,8.3,4.1
43,ZCTA5 00694,152.0,0.0,0.0,34.6,42.1,9.3
44,ZCTA5 00698,41788.0,1.7,12.9,12.3,8.3,3.8
45,ZCTA5 00703,29175.0,0.8,13.0,11.600000000000001,7.3,3.9
46,ZCTA5 00704,7950.0,0.3,9.2,11.2,4.5,2.4
47,ZCTA5 00705,25575.0,1.8,14.0,11.100000000000001,7.5,3.5999999999999996
48,ZCTA5 00707,12201.0,2.4,13.4,12.399999999999999,9.2,3.1
49,ZCTA5 00714,19542.0,0.7,11.2,11.399999999999999,8.5,3.9000000000000004
50,ZCTA5 00715,4270.0,2.7,13.6,11.7,11.5,4.800000000000001
51,ZCTA5 00716,32840.0,1.4,11.4,12.399999999999999,7.9,3.4
52,ZCTA5 00717,18615.0,2.2,10.7,9.600000000000001,7.8,5.3
53,ZCTA5 00718,26604.0,1.8,10.8,11.0,8.2,2.7
54,ZCTA5 00719,30992.0,1.5,13.3,11.2,7.4,3.3
55,ZCTA5 00720,23259.0,1.2,13.7,10.9,6.4,3.2
56,ZCTA5 00723,19225.0,1.3,13.7,12.8,8.2,3.9000000000000004
57,ZCTA5 00725,91035.0,1.7,11.8,10.600000000000001,7.8999999999999995,4.5
58,ZCTA5 00727,56679.0,0.8,14.100000000000001,11.3,8.0,3.5
59,ZCTA5 00728,43260.0,0.8,11.8,10.2,7.199999999999999,3.8
60,ZCTA5 00729,54914.0,1.1,12.3,10.4,7.0,3.0
61,ZCTA5 00730,39124.0,1.5,11.7,11.3,8.2,5.1
62,ZCTA5 00731,13869.0,1.3,10.2,15.8,10.8,3.5
63,ZCTA5 00735,13803.0,1.1,11.0,10.7,10.0,5.4
64,ZCTA5 00736,51689.0,1.5,13.3,11.4,8.1,3.7
65,ZCTA5 00738,35127.0,1.3,11.5,10.5,9.4,4.8
66,ZCTA5 00739,39171.0,0.9,13.8,12.3,7.1000000000000005,3.2
67,ZCTA5 00740,1730.0,0.0,1.5,3.9,9.4,11.399999999999999
68,ZCTA5 00741,5189.0,0.8,15.7,15.6,6.300000000000001,4.800000000000001
69,ZCTA5 00745,54984.0,1.1,12.6,10.8,8.3,3.5
70,ZCTA5 00751,23203.0,1.8,13.0,12.1,8.8,3.4
71,ZCTA5 00754,40631.0,1.6,13.8,11.5,7.6,3.3
72,ZCTA5 00757,23261.0,0.9,11.4,10.0,7.300000000000001,2.9
73,ZCTA5 00765,9236.0,1.2,13.3,13.4,9.9,4.6
74,ZCTA5 00766,26315.0,1.0,12.4,11.2,6.4,3.0999999999999996
75,ZCTA5 00767,37863.0,1.2,13.5,12.3,7.9,3.6
76,ZCTA5 00769,40088.0,1.2,12.5,11.2,7.5,3.3
77,ZCTA5 00771,38231.0,1.0,11.8,11.5,7.6,3.5999999999999996
78,ZCTA5 00772,21883.0,0.7,13.7,11.3,7.0,3.4000000000000004
79,ZCTA5 00773,20050.0,0.9,11.9,11.8,9.2,4.5
80,ZCTA5 00775,1535.0,1.1,12.100000000000001,15.2,6.199999999999999,5.4
81,ZCTA5 00777,40945.0,0.9,11.8,10.1,6.9,3.0999999999999996
82,ZCTA5 00778,45564.0,1.4,12.7,10.1,7.1,2.6
83,ZCTA5 00780,13340.0,0.8,15.7,12.399999999999999,5.9,4.6
84,ZCTA5 00782,18989.0,1.0,13.7,10.6,7.5,3.5
85,ZCTA5 00783,36756.0,0.5,13.4,10.7,7.699999999999999,4.0
86,ZCTA5 00784,44782.0,1.2,12.0,9.899999999999999,6.8,3.2
87,ZCTA5 00786,386.0,0.0,7.7,19.4,9.2,5.1
88,ZCTA5 00791,53104.0,1.2,12.0,12.0,8.8,3.8
89,ZCTA5 00794,30674.0,1.4,13.100000000000001,10.399999999999999,6.1,2.5
90,ZCTA5 00795,48403.0,1.1,12.3,10.8,7.6,3.6
91,ZCTA5 00901,6257.0,3.2,15.700000000000001,8.1,8.5,5.0
92,ZCTA5 00906,36.0,0.0,0.0,0.0,0.0,0.0
93,ZCTA5 00907,17049.0,2.3,14.399999999999999,14.899999999999999,10.8,6.1
94,ZCTA5 00909,5394.0,0.3,14.899999999999999,11.2,10.100000000000001,3.8000000000000003
95,ZCTA5 00911,7481.0,0.4,14.1,13.0,13.100000000000001,8.0
96,ZCTA5 00912,6353.0,0.8,14.6,13.3,6.6,6.9
97,ZCTA5 00913,8648.0,0.2,10.9,8.7,3.9000000000000004,2.6
