,GEO.display-label,PoorFucks,HC02_EST_VC09,HC02_EST_VC10,RichFucks
1,ZCTA5 00601,75.8,12.0,7.8,4.5
2,ZCTA5 00602,73.89999999999999,11.9,8.9,5.3999999999999995
3,ZCTA5 00603,68.10000000000001,13.9,11.1,6.800000000000001
4,ZCTA5 00606,84.8,12.1,3.1,0.0
5,ZCTA5 00610,76.30000000000001,11.8,7.9,3.9
6,ZCTA5 00612,68.0,13.5,12.1,6.5
7,ZCTA5 00616,77.8,10.3,5.3,6.3999999999999995
8,ZCTA5 00617,79.6,7.0,8.3,5.0
9,ZCTA5 00622,66.1,13.0,9.8,11.2
10,ZCTA5 00623,66.8,13.0,12.4,7.7
11,ZCTA5 00624,77.8,11.6,7.3,3.3000000000000003
12,ZCTA5 00627,70.5,14.4,9.7,5.4
13,ZCTA5 00631,71.2,10.4,18.4,0.0
14,ZCTA5 00637,74.60000000000001,11.5,10.1,3.7
15,ZCTA5 00638,79.7,10.9,7.5,2.0
16,ZCTA5 00641,72.8,13.3,9.7,4.1000000000000005
17,ZCTA5 00646,52.2,15.9,16.0,15.799999999999999
18,ZCTA5 00647,87.1,5.1,6.0,1.8
19,ZCTA5 00650,77.5,14.1,7.1,1.3
20,ZCTA5 00652,75.00000000000001,8.5,7.5,9.0
21,ZCTA5 00653,81.5,11.3,4.3,3.0
22,ZCTA5 00656,77.89999999999999,10.4,8.4,3.4000000000000004
23,ZCTA5 00659,70.0,11.8,10.4,7.7
24,ZCTA5 00660,70.2,14.0,10.8,5.0
25,ZCTA5 00662,73.0,14.1,8.1,4.6000000000000005
26,ZCTA5 00664,81.6,7.8,6.6,4.1
27,ZCTA5 00667,75.10000000000001,14.5,6.4,4.0
28,ZCTA5 00669,77.4,11.8,7.8,2.9999999999999996
29,ZCTA5 00670,76.0,14.3,7.0,2.8
30,ZCTA5 00674,68.2,13.5,9.9,8.4
31,ZCTA5 00676,75.0,11.7,10.0,3.3000000000000003
32,ZCTA5 00677,73.1,14.2,9.5,3.3
33,ZCTA5 00678,73.9,14.2,8.1,3.9000000000000004
34,ZCTA5 00680,73.9,12.1,8.5,5.4
35,ZCTA5 00682,62.39999999999999,13.5,11.6,12.3
36,ZCTA5 00683,74.0,10.7,9.2,5.999999999999999
37,ZCTA5 00685,78.4,10.7,7.3,3.7
38,ZCTA5 00687,74.9,13.2,6.9,5.0
39,ZCTA5 00688,80.3,9.9,7.9,1.9000000000000001
40,ZCTA5 00690,68.8,13.5,9.8,7.8
41,ZCTA5 00692,67.6,12.9,9.1,10.4
42,ZCTA5 00693,71.4,10.5,12.2,6.0
43,ZCTA5 00694,100.0,0.0,0.0,0.0
44,ZCTA5 00698,74.6,12.5,8.2,4.5
45,ZCTA5 00703,74.8,11.9,8.4,4.8
46,ZCTA5 00704,78.39999999999999,7.0,11.8,2.7
47,ZCTA5 00705,73.8,10.3,12.5,3.4
48,ZCTA5 00707,79.9,9.2,10.0,0.9
49,ZCTA5 00714,81.10000000000001,10.4,7.1,1.2
50,ZCTA5 00715,80.5,6.4,9.0,4.0
51,ZCTA5 00716,61.6,12.3,11.5,14.6
52,ZCTA5 00717,63.699999999999996,16.0,13.3,7.0
53,ZCTA5 00718,72.3,13.1,12.1,2.6
54,ZCTA5 00719,72.2,12.9,9.4,5.3999999999999995
55,ZCTA5 00720,79.60000000000001,12.5,6.5,1.5
56,ZCTA5 00723,76.8,11.5,8.8,2.8000000000000003
57,ZCTA5 00725,59.5,13.6,14.0,12.9
58,ZCTA5 00727,50.6,15.4,15.9,18.2
59,ZCTA5 00728,67.4,14.9,12.0,5.8
60,ZCTA5 00729,62.8,18.0,11.3,8.1
61,ZCTA5 00730,70.8,12.7,8.2,8.2
62,ZCTA5 00731,74.8,13.7,6.0,5.4
63,ZCTA5 00735,70.39999999999999,15.4,7.6,6.4
64,ZCTA5 00736,63.099999999999994,14.4,10.5,12.099999999999998
65,ZCTA5 00738,65.7,15.8,12.0,6.6
66,ZCTA5 00739,61.70000000000001,13.3,13.9,11.1
67,ZCTA5 00740,70.39999999999999,13.6,9.6,6.4
68,ZCTA5 00741,69.3,20.0,7.6,3.0999999999999996
69,ZCTA5 00745,60.2,18.3,14.7,6.8
70,ZCTA5 00751,76.3,13.6,6.6,3.5
71,ZCTA5 00754,70.6,12.0,10.8,6.5
72,ZCTA5 00757,70.7,10.0,12.1,7.3
73,ZCTA5 00765,76.6,16.8,4.9,1.6
74,ZCTA5 00766,71.6,14.5,8.9,5.1000000000000005
75,ZCTA5 00767,74.69999999999999,13.1,9.1,3.0
76,ZCTA5 00769,69.8,14.3,10.3,5.7
77,ZCTA5 00771,65.9,17.1,10.4,6.7
78,ZCTA5 00772,73.6,14.5,8.6,3.1999999999999997
79,ZCTA5 00773,64.3,14.7,11.6,9.5
80,ZCTA5 00775,73.00000000000001,13.1,6.5,7.5
81,ZCTA5 00777,68.8,14.1,12.6,4.6
82,ZCTA5 00778,48.8,14.3,14.9,22.1
83,ZCTA5 00780,69.5,6.1,10.4,13.9
84,ZCTA5 00782,80.6,8.8,8.0,2.7
85,ZCTA5 00783,77.6,9.5,9.0,3.9000000000000004
86,ZCTA5 00784,72.6,13.2,9.8,4.3
87,ZCTA5 00786,67.60000000000001,8.5,23.9,0.0
88,ZCTA5 00791,68.3,11.1,12.0,8.6
89,ZCTA5 00794,75.80000000000001,12.7,7.9,3.5999999999999996
90,ZCTA5 00795,67.7,13.7,12.7,5.8999999999999995
91,ZCTA5 00901,47.3,7.2,5.8,39.8
92,ZCTA5 00906,45.7,17.1,0.0,37.1
93,ZCTA5 00907,41.599999999999994,14.0,13.9,30.5
94,ZCTA5 00909,56.1,11.3,14.6,18.1
95,ZCTA5 00911,43.8,11.3,17.5,27.6
96,ZCTA5 00912,58.5,13.1,13.1,15.100000000000001
97,ZCTA5 00913,40.5,5.1,18.1,36.5
98,ZCTA5 00915,78.2,13.8,4.4,3.5999999999999996
99,ZCTA5 00917,66.4,13.3,9.5,10.8
100,ZCTA5 00918,33.400000000000006,18.7,19.9,27.9
101,ZCTA5 00920,57.400000000000006,18.3,13.2,11.1
102,ZCTA5 00921,53.800000000000004,18.5,15.6,12.200000000000001
103,ZCTA5 00923,64.7,15.0,10.1,10.3
104,ZCTA5 00924,54.400000000000006,16.3,17.6,11.6
105,ZCTA5 00925,52.400000000000006,26.0,14.0,7.6
106,ZCTA5 00926,42.4,11.8,16.1,29.7
107,ZCTA5 00927,37.2,13.1,18.8,31.0
108,ZCTA5 00934,0.0,0.0,0.0,0.0
109,ZCTA5 00936,0.0,0.0,0.0,0.0
110,ZCTA5 00949,55.699999999999996,17.5,15.4,11.299999999999999
111,ZCTA5 00950,0.0,0.0,0.0,0.0
112,ZCTA5 00951,100.0,0.0,0.0,0.0
113,ZCTA5 00952,71.9,15.9,6.7,5.699999999999999
114,ZCTA5 00953,51.4,13.2,16.7,18.8
115,ZCTA5 00956,62.6,17.9,12.8,6.8
116,ZCTA5 00957,54.49999999999999,19.2,15.7,10.6
117,ZCTA5 00959,44.8,20.2,18.4,16.5
118,ZCTA5 00960,0.0,0.0,0.0,0.0
119,ZCTA5 00961,45.2,14.6,20.4,19.7
120,ZCTA5 00962,63.900000000000006,16.7,12.1,7.3999999999999995
121,ZCTA5 00965,76.5,15.6,6.3,1.8
122,ZCTA5 00966,29.700000000000003,11.9,13.8,44.6
123,ZCTA5 00968,34.9,11.0,18.2,36.1
124,ZCTA5 00969,29.199999999999996,11.2,17.6,42.1
125,ZCTA5 00971,66.3,10.8,9.9,12.9
126,ZCTA5 00976,46.800000000000004,16.7,16.9,19.7
127,ZCTA5 00979,45.29999999999999,13.4,18.1,23.2
128,ZCTA5 00982,56.9,21.3,13.1,8.7
129,ZCTA5 00983,52.8,19.0,17.9,10.3
130,ZCTA5 00985,56.0,16.4,17.2,10.4
131,ZCTA5 00987,46.7,17.5,18.9,16.8
132,ZCTA5 01001,19.999999999999996,10.9,20.4,48.7
133,ZCTA5 01002,14.999999999999998,6.7,12.7,65.6
134,ZCTA5 01003,0.0,0.0,0.0,0.0
135,ZCTA5 01005,10.399999999999999,14.6,18.0,57.10000000000001
136,ZCTA5 01007,11.600000000000001,8.2,16.4,63.7
137,ZCTA5 01008,19.600000000000005,10.2,28.7,41.6
138,ZCTA5 01009,35.1,7.4,18.1,39.400000000000006
139,ZCTA5 01010,16.400000000000002,10.6,10.3,62.8
140,ZCTA5 01011,14.299999999999999,9.1,18.3,58.300000000000004
141,ZCTA5 01012,15.9,19.7,25.5,38.900000000000006
142,ZCTA5 01013,23.900000000000002,12.2,24.6,39.10000000000001
143,ZCTA5 01020,18.3,11.2,19.3,51.300000000000004
144,ZCTA5 01022,35.7,24.9,16.2,23.2
145,ZCTA5 01026,25.9,17.0,22.6,34.6
146,ZCTA5 01027,20.000000000000004,7.3,21.5,51.2
147,ZCTA5 01028,14.5,7.7,15.3,62.5
148,ZCTA5 01029,26.4,13.0,12.6,47.900000000000006
149,ZCTA5 01030,20.3,7.3,19.2,53.2
150,ZCTA5 01031,29.6,15.5,18.3,36.5
151,ZCTA5 01032,23.3,10.8,17.4,48.6
152,ZCTA5 01033,13.600000000000001,9.5,10.5,66.4
153,ZCTA5 01034,14.0,10.4,19.1,56.5
154,ZCTA5 01035,20.2,10.3,21.9,47.5
155,ZCTA5 01036,12.7,9.0,22.6,55.8
156,ZCTA5 01037,24.7,0.0,21.1,54.0
157,ZCTA5 01038,16.6,9.4,21.6,52.5
158,ZCTA5 01039,22.5,7.7,12.7,57.1
159,ZCTA5 01040,19.9,10.7,19.6,49.8
160,ZCTA5 01050,14.6,13.7,17.9,53.800000000000004
161,ZCTA5 01053,26.300000000000004,10.3,18.5,44.9
162,ZCTA5 01054,16.0,9.2,16.6,58.2
163,ZCTA5 01056,20.2,9.6,20.4,49.9
164,ZCTA5 01057,14.7,12.0,17.8,55.400000000000006
165,ZCTA5 01060,18.500000000000004,9.3,16.2,55.99999999999999
166,ZCTA5 01062,14.1,9.6,15.9,60.4
167,ZCTA5 01063,0.0,0.0,0.0,0.0
168,ZCTA5 01066,0.0,0.0,0.0,0.0
169,ZCTA5 01068,12.100000000000001,11.9,14.1,61.8
170,ZCTA5 01069,15.8,13.4,18.8,52.0
171,ZCTA5 01070,24.8,17.0,23.0,35.2
172,ZCTA5 01071,16.1,14.4,23.5,46.1
173,ZCTA5 01072,19.7,10.1,17.4,52.7
174,ZCTA5 01073,21.400000000000002,8.4,10.5,59.7
175,ZCTA5 01074,0.0,0.0,0.0,0.0
176,ZCTA5 01075,18.900000000000002,10.0,21.3,49.900000000000006
177,ZCTA5 01077,15.4,9.5,17.6,57.5
178,ZCTA5 01079,48.099999999999994,16.6,4.8,30.6
179,ZCTA5 01080,25.099999999999998,10.8,22.4,41.8
180,ZCTA5 01081,33.300000000000004,10.4,19.3,37.0
181,ZCTA5 01082,23.200000000000003,13.3,21.9,41.599999999999994
182,ZCTA5 01083,38.6,6.5,5.9,49.0
183,ZCTA5 01084,19.1,19.1,16.2,45.599999999999994
184,ZCTA5 01085,17.900000000000002,10.2,18.0,53.8
185,ZCTA5 01086,0.0,0.0,0.0,0.0
186,ZCTA5 01088,31.3,20.5,25.0,23.3
187,ZCTA5 01089,22.9,11.8,19.5,45.8
188,ZCTA5 01092,12.3,7.4,7.7,72.7
189,ZCTA5 01093,15.899999999999999,7.6,21.0,55.4
190,ZCTA5 01094,0.0,7.5,16.4,76.19999999999999
191,ZCTA5 01095,14.4,9.0,9.8,66.8
192,ZCTA5 01096,14.799999999999999,13.0,16.6,55.6
193,ZCTA5 01097,100.0,0.0,0.0,0.0
194,ZCTA5 01098,19.2,8.8,18.8,53.2
195,ZCTA5 01103,38.3,5.6,28.5,27.9
196,ZCTA5 01104,28.5,17.6,19.3,34.6
197,ZCTA5 01105,25.6,9.3,11.4,53.7
198,ZCTA5 01106,11.900000000000002,6.9,12.7,68.4
199,ZCTA5 01107,25.4,15.4,15.1,44.1
200,ZCTA5 01108,22.200000000000003,15.1,21.6,41.1
201,ZCTA5 01109,28.3,21.9,20.6,29.299999999999997
202,ZCTA5 01118,17.5,15.6,21.4,45.50000000000001
203,ZCTA5 01119,29.199999999999996,12.0,22.9,35.9
204,ZCTA5 01128,19.1,5.8,27.1,48.0
205,ZCTA5 01129,19.7,16.0,26.1,38.2
206,ZCTA5 01151,32.1,16.8,18.8,32.2
207,ZCTA5 01199,0.0,0.0,0.0,0.0
208,ZCTA5 01201,24.3,14.2,20.0,41.4
209,ZCTA5 01220,20.500000000000004,18.8,21.8,38.9
210,ZCTA5 01222,14.600000000000001,7.9,18.9,58.6
211,ZCTA5 01223,18.5,13.2,18.7,49.599999999999994
212,ZCTA5 01224,48.1,18.5,33.3,0.0
213,ZCTA5 01225,22.900000000000002,13.1,28.9,35.1
214,ZCTA5 01226,18.4,19.9,21.9,39.6
215,ZCTA5 01229,66.0,0.0,11.4,22.7
216,ZCTA5 01230,19.0,11.4,15.7,53.9
217,ZCTA5 01235,19.7,14.3,28.7,37.1
218,ZCTA5 01236,21.4,7.8,21.8,48.900000000000006
219,ZCTA5 01237,15.700000000000001,4.3,21.4,58.599999999999994
220,ZCTA5 01238,15.799999999999999,2.8,24.1,57.199999999999996
221,ZCTA5 01240,22.3,10.2,11.1,56.300000000000004
222,ZCTA5 01242,0.0,17.2,31.0,51.7
223,ZCTA5 01243,20.999999999999996,6.4,18.0,54.7
224,ZCTA5 01244,20.5,0.0,18.2,61.3
225,ZCTA5 01245,15.8,19.5,15.5,49.3
226,ZCTA5 01247,29.599999999999998,13.2,21.5,35.7
227,ZCTA5 01253,18.599999999999998,4.9,30.6,45.9
228,ZCTA5 01254,15.899999999999999,9.7,15.5,58.6
229,ZCTA5 01255,15.1,10.9,26.0,48.1
230,ZCTA5 01256,35.800000000000004,13.1,17.9,33.4
231,ZCTA5 01257,27.700000000000003,13.3,9.9,49.099999999999994
232,ZCTA5 01258,27.300000000000004,7.3,26.3,39.099999999999994
