,GEO.display-label,PoorFucks,HC02_EST_VC09,HC02_EST_VC10,RichFucks
104,ZCTA5 00924,69.80000000000001,10.7,12.0,7.6
105,ZCTA5 00925,82.8,8.9,6.5,1.8
106,ZCTA5 00926,51.1,12.1,13.3,23.499999999999996
107,ZCTA5 00927,52.7,13.1,12.8,21.400000000000002
108,ZCTA5 00934,0.0,0.0,56.0,44.0
109,ZCTA5 00936,0.0,0.0,0.0,0.0
110,ZCTA5 00949,62.199999999999996,14.7,13.3,9.8
111,ZCTA5 00950,0.0,0.0,0.0,0.0
112,ZCTA5 00951,0.0,0.0,0.0,0.0
113,ZCTA5 00952,78.6,11.5,6.3,3.6
114,ZCTA5 00953,57.3,12.0,13.8,16.9
115,ZCTA5 00956,66.4,15.8,11.6,6.1
116,ZCTA5 00957,62.8,16.3,11.9,9.1
117,ZCTA5 00959,56.60000000000001,15.8,14.0,13.6
118,ZCTA5 00960,0.0,0.0,0.0,0.0
119,ZCTA5 00961,57.2,12.3,14.5,16.0
120,ZCTA5 00962,75.5,12.4,6.5,5.5
121,ZCTA5 00965,79.9,11.4,5.7,3.0
122,ZCTA5 00966,38.0,11.1,15.3,35.6
123,ZCTA5 00968,44.2,9.6,17.1,29.2
124,ZCTA5 00969,38.300000000000004,10.8,15.8,35.1
125,ZCTA5 00971,68.3,10.0,11.0,10.5
126,ZCTA5 00976,55.5,15.3,14.3,14.899999999999999
127,ZCTA5 00979,50.900000000000006,11.8,17.3,19.8
128,ZCTA5 00982,61.2,19.0,12.3,7.4
129,ZCTA5 00983,61.599999999999994,16.3,14.4,7.7
130,ZCTA5 00985,65.1,14.0,13.2,7.7
131,ZCTA5 00987,52.7,15.1,16.8,15.3
132,ZCTA5 01001,28.200000000000003,13.2,20.6,38.0
133,ZCTA5 01002,37.3,10.5,12.1,40.099999999999994
134,ZCTA5 01003,83.9,0.0,0.0,16.1
135,ZCTA5 01005,19.500000000000004,14.8,18.9,46.9
136,ZCTA5 01007,19.8,8.6,13.7,58.099999999999994
137,ZCTA5 01008,19.6,13.1,27.7,39.4
138,ZCTA5 01009,35.7,0.0,18.5,45.8
139,ZCTA5 01010,23.4,10.2,8.7,57.5
140,ZCTA5 01011,21.3,12.1,16.3,50.400000000000006
141,ZCTA5 01012,24.4,12.9,17.2,45.400000000000006
142,ZCTA5 01013,45.300000000000004,13.7,17.5,23.4
143,ZCTA5 01020,29.2,14.5,17.3,38.900000000000006
144,ZCTA5 01022,36.7,27.4,16.2,19.7
145,ZCTA5 01026,35.3,13.1,19.8,31.8
146,ZCTA5 01027,28.0,11.5,19.6,40.8
147,ZCTA5 01028,20.2,9.2,13.4,57.199999999999996
148,ZCTA5 01029,34.9,13.3,16.8,35.099999999999994
149,ZCTA5 01030,25.2,8.6,18.3,47.8
150,ZCTA5 01031,43.1,14.5,11.3,31.099999999999998
151,ZCTA5 01032,18.8,10.0,15.1,56.2
152,ZCTA5 01033,19.599999999999998,9.6,10.8,59.900000000000006
153,ZCTA5 01034,15.700000000000001,9.0,16.3,59.099999999999994
154,ZCTA5 01035,25.8,15.1,18.9,40.2
155,ZCTA5 01036,17.599999999999998,10.1,19.8,52.4
156,ZCTA5 01037,20.099999999999998,0.0,16.8,63.0
157,ZCTA5 01038,25.000000000000004,7.3,22.6,45.0
158,ZCTA5 01039,23.099999999999998,9.9,15.0,52.2
159,ZCTA5 01040,47.3,11.6,15.1,26.0
160,ZCTA5 01050,22.2,12.9,17.2,47.9
161,ZCTA5 01053,28.200000000000003,8.5,22.6,40.6
162,ZCTA5 01054,19.499999999999996,8.3,15.0,57.2
163,ZCTA5 01056,23.6,10.6,20.2,45.6
164,ZCTA5 01057,19.200000000000003,11.1,16.1,53.6
165,ZCTA5 01060,33.7,11.3,16.9,38.1
166,ZCTA5 01062,26.3,9.1,14.9,49.8
167,ZCTA5 01063,0.0,0.0,0.0,0.0
168,ZCTA5 01066,0.0,100.0,0.0,0.0
169,ZCTA5 01068,13.0,13.4,15.9,57.8
170,ZCTA5 01069,26.0,15.2,16.6,42.2
171,ZCTA5 01070,27.699999999999996,15.4,24.3,32.8
172,ZCTA5 01071,21.0,15.4,22.2,41.2
173,ZCTA5 01072,26.800000000000004,5.8,18.6,48.8
174,ZCTA5 01073,19.3,11.9,14.2,54.5
175,ZCTA5 01074,0.0,31.3,29.1,39.6
176,ZCTA5 01075,26.2,11.6,18.3,43.9
177,ZCTA5 01077,24.1,9.8,13.8,52.300000000000004
