,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
82,ZCTA5 00778,46569.0,1.1,13.100000000000001,10.3,7.6,3.3000000000000003
83,ZCTA5 00780,13678.0,0.1,15.399999999999999,10.9,7.3999999999999995,2.7
84,ZCTA5 00782,18595.0,0.8,14.5,11.4,8.3,3.8
85,ZCTA5 00783,35856.0,1.3,13.3,11.1,8.4,3.6
86,ZCTA5 00784,43251.0,1.2,12.2,10.2,7.699999999999999,3.6
87,ZCTA5 00786,327.0,0.0,8.5,25.5,26.6,16.4
88,ZCTA5 00791,51757.0,1.5,11.8,12.6,9.5,4.3
89,ZCTA5 00794,30462.0,1.3,13.1,11.0,6.5,2.9000000000000004
90,ZCTA5 00795,47106.0,0.9,12.5,11.3,8.5,4.1
91,ZCTA5 00901,6428.0,2.1,16.5,10.899999999999999,6.3,4.6
92,ZCTA5 00906,43.0,0.0,0.0,0.0,0.0,0.0
93,ZCTA5 00907,17910.0,2.2,15.5,12.5,9.9,6.699999999999999
94,ZCTA5 00909,6071.0,1.2,12.9,10.4,10.9,3.9
95,ZCTA5 00911,7425.0,0.4,14.1,11.3,13.0,9.600000000000001
96,ZCTA5 00912,6414.0,1.0,13.600000000000001,11.2,8.399999999999999,4.0
97,ZCTA5 00913,8179.0,0.2,9.9,10.2,5.3,1.9000000000000001
98,ZCTA5 00915,30642.0,1.2,13.3,12.1,8.9,4.7
99,ZCTA5 00917,19723.0,2.7,15.7,13.600000000000001,10.0,5.6
100,ZCTA5 00918,16553.0,3.6,10.9,10.4,8.899999999999999,8.399999999999999
101,ZCTA5 00920,18729.0,2.4,14.2,14.2,7.4,5.800000000000001
102,ZCTA5 00921,38499.0,2.2,13.3,10.5,6.5,5.5
103,ZCTA5 00923,27853.0,1.1,12.0,10.3,8.2,3.3
104,ZCTA5 00924,56236.0,1.8,11.7,11.1,7.5,5.2
105,ZCTA5 00925,7120.0,1.2,13.7,8.6,7.4,2.5
106,ZCTA5 00926,105093.0,1.3,13.0,12.1,8.9,5.4
107,ZCTA5 00927,14764.0,3.8,16.5,11.3,8.8,6.6
108,ZCTA5 00934,188.0,0.0,17.1,0.0,0.0,0.0
109,ZCTA5 00936,877.0,2.4,7.6,19.2,34.8,13.4
110,ZCTA5 00949,80406.0,1.3,12.4,10.6,8.3,4.2
111,ZCTA5 00950,0.0,0,0.0,0.0,0.0,0.0
112,ZCTA5 00951,15.0,0.0,0.0,100.0,0.0,0.0
113,ZCTA5 00952,9338.0,2.1,13.5,11.5,10.5,2.5
