,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,17982.0,1.4,13.5,12.6,8.899999999999999,3.9000000000000004
2,ZCTA5 00602,40260.0,1.3,14.600000000000001,13.3,9.0,3.5999999999999996
3,ZCTA5 00603,52408.0,0.8,12.3,12.2,10.3,5.300000000000001
4,ZCTA5 00606,6331.0,2.4,11.5,12.399999999999999,8.8,3.7
5,ZCTA5 00610,28328.0,1.1,12.8,11.6,9.7,4.9
6,ZCTA5 00612,64816.0,2.3,13.3,11.6,9.1,4.7
7,ZCTA5 00616,10707.0,3.5,15.399999999999999,8.8,12.6,3.2
8,ZCTA5 00617,24793.0,1.0,11.6,11.0,9.3,5.0
9,ZCTA5 00622,7425.0,0.8,13.8,11.5,13.3,7.7
10,ZCTA5 00623,42955.0,1.6,12.8,11.5,10.3,5.7
11,ZCTA5 00624,24628.0,1.4,13.2,11.9,8.3,3.5
12,ZCTA5 00627,33949.0,1.5,13.2,11.9,9.6,3.9
13,ZCTA5 00631,1664.0,0.9,12.399999999999999,12.6,9.3,12.5
14,ZCTA5 00637,24398.0,1.5,11.399999999999999,11.7,10.2,5.5
15,ZCTA5 00638,18084.0,1.1,13.8,12.899999999999999,9.3,4.7
16,ZCTA5 00641,29516.0,1.6,13.1,13.6,10.4,4.300000000000001
17,ZCTA5 00646,38396.0,1.2,13.3,10.9,8.5,3.6
18,ZCTA5 00647,5740.0,1.8,14.0,12.600000000000001,13.9,7.5
19,ZCTA5 00650,14738.0,0.8,10.0,10.600000000000001,8.899999999999999,4.8
20,ZCTA5 00652,3800.0,3.1,12.399999999999999,9.7,7.8,7.1
21,ZCTA5 00653,12514.0,0.8,9.3,12.5,10.7,4.4
22,ZCTA5 00656,20414.0,1.3,11.7,12.4,9.6,4.6
23,ZCTA5 00659,41578.0,1.3,13.2,11.4,9.9,4.2
24,ZCTA5 00660,16845.0,1.8,11.8,11.3,12.2,7.4
25,ZCTA5 00662,42499.0,1.9,12.2,11.9,10.3,4.1
26,ZCTA5 00664,15974.0,1.8,12.0,12.0,7.6,2.5999999999999996
27,ZCTA5 00667,24968.0,2.3,12.1,12.9,11.100000000000001,4.9
28,ZCTA5 00669,27703.0,1.8,12.9,12.3,9.5,4.4
29,ZCTA5 00670,9333.0,1.0,13.100000000000001,12.3,10.1,5.6
30,ZCTA5 00674,42358.0,1.6,12.5,12.6,9.399999999999999,5.0
31,ZCTA5 00676,38999.0,1.7,13.2,11.7,8.4,3.7
32,ZCTA5 00677,14855.0,1.0,13.899999999999999,12.5,11.9,5.9
33,ZCTA5 00678,26815.0,1.7,14.1,11.100000000000001,9.3,3.6
34,ZCTA5 00680,52431.0,1.9,11.4,11.3,10.2,5.1
35,ZCTA5 00682,32431.0,1.5,10.2,11.8,8.7,6.1
