,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
1,ZCTA5 00601,17800.0,1.0,13.6,13.0,9.2,4.7
2,ZCTA5 00602,39716.0,1.5,14.3,13.7,9.5,3.7
3,ZCTA5 00603,51565.0,0.9,12.3,12.0,10.5,5.5
4,ZCTA5 00606,6320.0,2.4,15.399999999999999,13.7,10.100000000000001,4.0
5,ZCTA5 00610,27976.0,1.4,12.9,11.9,10.100000000000001,5.0
6,ZCTA5 00612,63884.0,2.1,13.4,11.4,9.4,4.9
7,ZCTA5 00616,10321.0,3.0,16.299999999999997,9.0,14.100000000000001,3.7
8,ZCTA5 00617,24648.0,1.2,11.8,11.100000000000001,9.8,5.1
9,ZCTA5 00622,7385.0,1.6,14.7,9.600000000000001,14.2,9.0
10,ZCTA5 00623,42711.0,1.6,12.899999999999999,11.9,10.600000000000001,5.800000000000001
11,ZCTA5 00624,23945.0,1.4,12.8,12.399999999999999,8.5,4.0
12,ZCTA5 00627,33481.0,1.7,13.3,12.0,10.1,4.0
13,ZCTA5 00631,1689.0,1.8,14.8,11.2,10.9,7.5
14,ZCTA5 00637,24013.0,1.6,11.6,11.7,10.7,5.9
15,ZCTA5 00638,17795.0,1.0,13.3,13.5,10.0,5.0
16,ZCTA5 00641,28925.0,2.0,12.9,13.7,10.9,4.199999999999999
17,ZCTA5 00646,38292.0,1.0,13.6,10.9,9.0,4.0
18,ZCTA5 00647,5711.0,2.1,14.1,12.7,14.1,7.4
19,ZCTA5 00650,14569.0,0.9,11.5,11.2,9.3,4.9
20,ZCTA5 00652,3893.0,2.2,9.4,14.2,5.9,9.1
21,ZCTA5 00653,12125.0,0.3,9.4,12.1,11.5,5.6
22,ZCTA5 00656,19996.0,1.5,11.600000000000001,12.600000000000001,10.1,4.7
23,ZCTA5 00659,41327.0,1.5,13.3,11.600000000000001,10.3,4.5
24,ZCTA5 00660,16678.0,2.1,11.899999999999999,11.3,12.399999999999999,7.8
25,ZCTA5 00662,41986.0,1.8,12.3,11.8,10.4,4.4
26,ZCTA5 00664,15693.0,2.1,11.9,12.3,8.2,2.7
27,ZCTA5 00667,24492.0,2.5,12.1,12.9,11.9,5.300000000000001
28,ZCTA5 00669,27063.0,1.9,12.8,12.7,10.0,4.8
29,ZCTA5 00670,9087.0,1.0,12.8,12.8,10.399999999999999,5.9
30,ZCTA5 00674,41545.0,1.5,12.4,12.8,9.7,5.4
31,ZCTA5 00676,38488.0,1.7,13.2,11.899999999999999,8.899999999999999,4.0
32,ZCTA5 00677,14755.0,0.4,14.3,12.7,12.3,7.199999999999999
33,ZCTA5 00678,26490.0,1.6,14.2,11.4,9.7,4.1
34,ZCTA5 00680,50628.0,1.8,11.4,12.100000000000001,10.5,5.300000000000001
35,ZCTA5 00682,32433.0,1.6,9.7,10.899999999999999,9.1,6.699999999999999
36,ZCTA5 00683,32058.0,1.9,12.4,12.4,11.8,6.1
37,ZCTA5 00685,40102.0,2.3,12.3,12.899999999999999,11.5,5.3
38,ZCTA5 00687,32087.0,1.5,13.0,12.0,7.7,3.6
39,ZCTA5 00688,12797.0,0.5,11.5,12.0,10.3,6.3999999999999995
40,ZCTA5 00690,5328.0,2.6,10.3,11.6,12.5,6.300000000000001
41,ZCTA5 00692,36700.0,1.6,12.1,11.5,8.7,3.9000000000000004
42,ZCTA5 00693,57428.0,2.2,13.0,11.6,9.6,4.3
43,ZCTA5 00694,66.0,0.0,0.0,0.0,100.0,0.0
44,ZCTA5 00698,38502.0,2.1,12.8,13.5,10.2,4.4
45,ZCTA5 00703,27797.0,1.4,12.2,12.3,9.4,4.9
46,ZCTA5 00704,8390.0,0.5,10.0,11.0,8.2,3.0999999999999996
47,ZCTA5 00705,24387.0,2.1,14.1,12.9,8.5,4.2
48,ZCTA5 00707,11506.0,0.4,13.6,12.8,10.7,6.6
49,ZCTA5 00714,18640.0,1.3,11.5,11.9,10.0,4.4
50,ZCTA5 00715,3692.0,0.5,9.4,12.6,13.100000000000001,6.8
51,ZCTA5 00716,29351.0,1.5,9.600000000000001,13.3,10.6,5.5
52,ZCTA5 00717,17958.0,3.0,11.6,10.100000000000001,8.2,5.0
53,ZCTA5 00718,26460.0,1.4,11.2,10.600000000000001,9.6,3.8000000000000003
54,ZCTA5 00719,30094.0,2.8,13.5,12.7,8.7,3.1
55,ZCTA5 00720,22148.0,0.8,13.600000000000001,12.3,7.6,4.5
56,ZCTA5 00723,18135.0,1.5,13.899999999999999,13.600000000000001,10.4,4.7
57,ZCTA5 00725,83479.0,1.7,13.4,11.8,8.9,5.699999999999999
58,ZCTA5 00727,57079.0,1.1,13.0,10.8,8.9,4.1
59,ZCTA5 00728,41245.0,0.8,10.899999999999999,11.3,8.7,4.5
60,ZCTA5 00729,52897.0,1.2,13.4,11.3,8.2,4.1
61,ZCTA5 00730,33899.0,1.8,13.4,11.0,9.8,6.5
62,ZCTA5 00731,14988.0,0.7,12.1,12.7,9.4,5.4
63,ZCTA5 00735,12798.0,1.4,11.9,10.9,11.6,6.9
64,ZCTA5 00736,49841.0,1.9,13.3,12.5,9.899999999999999,4.6
65,ZCTA5 00738,32409.0,2.0,12.5,9.9,10.7,5.5
66,ZCTA5 00739,37558.0,1.0,14.2,12.7,8.8,3.6999999999999997
67,ZCTA5 00740,1503.0,0.0,9.0,11.8,3.5,12.1
68,ZCTA5 00741,5042.0,1.4,16.2,9.100000000000001,11.2,3.1
69,ZCTA5 00745,53395.0,1.3,13.2,10.7,9.8,4.4
70,ZCTA5 00751,22110.0,1.3,12.9,11.899999999999999,9.7,5.1
71,ZCTA5 00754,39218.0,1.9,14.0,12.6,8.9,4.2
72,ZCTA5 00757,22732.0,1.8,12.1,10.2,8.7,2.9
73,ZCTA5 00765,8801.0,0.5,14.2,14.100000000000001,10.7,7.0
74,ZCTA5 00766,24489.0,1.2,12.7,12.7,8.7,3.5
75,ZCTA5 00767,35734.0,1.8,13.7,13.1,10.1,3.9000000000000004
76,ZCTA5 00769,39630.0,1.6,13.3,12.600000000000001,9.3,3.5
77,ZCTA5 00771,38132.0,2.0,12.100000000000001,11.600000000000001,9.1,3.5999999999999996
78,ZCTA5 00772,21096.0,1.3,12.5,11.899999999999999,8.2,3.5
79,ZCTA5 00773,19237.0,1.6,12.5,11.899999999999999,10.899999999999999,5.4
80,ZCTA5 00775,1493.0,0.9,8.6,9.8,7.6,6.5
81,ZCTA5 00777,40398.0,0.8,12.1,10.6,8.3,4.1
82,ZCTA5 00778,46990.0,0.8,13.7,10.5,8.1,4.0
83,ZCTA5 00780,11597.0,0.2,13.399999999999999,11.399999999999999,8.8,3.6999999999999997
84,ZCTA5 00782,18544.0,1.3,14.3,11.8,8.4,4.199999999999999
85,ZCTA5 00783,34702.0,1.1,13.2,11.7,8.8,4.4
86,ZCTA5 00784,41993.0,1.5,12.1,10.6,8.399999999999999,3.7
87,ZCTA5 00786,287.0,0.0,0.0,9.2,77.69999999999999,13.1
88,ZCTA5 00791,50515.0,1.5,12.3,12.899999999999999,10.3,5.1
89,ZCTA5 00794,29635.0,1.2,13.1,11.600000000000001,7.3,3.3
90,ZCTA5 00795,45852.0,0.5,12.7,11.8,9.100000000000001,5.1
91,ZCTA5 00901,6541.0,3.0,14.600000000000001,12.2,6.4,5.699999999999999
92,ZCTA5 00906,76.0,0.0,0.0,0.0,9.4,0.0
93,ZCTA5 00907,17472.0,2.5,16.8,12.6,11.7,6.5
94,ZCTA5 00909,5563.0,1.5,11.0,11.1,10.8,3.3
95,ZCTA5 00911,7227.0,1.0,13.600000000000001,13.2,11.5,7.8
96,ZCTA5 00912,5758.0,1.3,15.4,10.2,11.5,6.5
97,ZCTA5 00913,8333.0,1.2,10.5,9.8,4.5,1.3
98,ZCTA5 00915,28173.0,1.6,13.3,13.1,8.6,4.300000000000001
99,ZCTA5 00917,19005.0,3.0,15.5,13.3,10.8,6.0
100,ZCTA5 00918,16400.0,3.7,12.8,9.8,9.8,8.1
101,ZCTA5 00920,17576.0,3.5,12.4,14.2,7.6,6.699999999999999
102,ZCTA5 00921,36104.0,2.2,12.2,12.2,7.2,5.6
103,ZCTA5 00923,25745.0,1.0,11.399999999999999,13.4,9.5,4.3
104,ZCTA5 00924,54062.0,2.4,11.8,11.2,8.9,4.9
105,ZCTA5 00925,6924.0,1.2,14.899999999999999,7.8,6.1,2.9
106,ZCTA5 00926,101337.0,1.7,13.9,11.8,9.6,6.0
107,ZCTA5 00927,14229.0,3.6,12.7,11.6,9.3,5.9
108,ZCTA5 00934,67.0,0.0,0.0,0.0,0.0,0.0
109,ZCTA5 00936,893.0,2.4,2.0,6.1,11.2,17.4
110,ZCTA5 00949,77458.0,1.3,12.2,10.899999999999999,9.0,4.7
111,ZCTA5 00950,0.0,0,0.0,0.0,0.0,0.0
112,ZCTA5 00951,8.0,0.0,0.0,100.0,0.0,0.0
113,ZCTA5 00952,9078.0,2.0,14.7,11.7,10.5,3.9000000000000004
114,ZCTA5 00953,72712.0,0.9,14.2,10.9,6.9,3.2
115,ZCTA5 00956,71602.0,2.0,12.100000000000001,10.5,9.100000000000001,6.2
116,ZCTA5 00957,42155.0,1.3,12.4,11.6,10.2,6.3
117,ZCTA5 00959,48349.0,1.9,13.4,11.0,8.2,5.9
118,ZCTA5 00960,2429.0,0.1,12.7,3.0999999999999996,0.6,0.2
119,ZCTA5 00961,30655.0,2.0,13.3,12.4,8.2,5.300000000000001
120,ZCTA5 00962,20509.0,1.5,13.0,11.7,8.2,4.2
121,ZCTA5 00965,7543.0,0.6,14.700000000000001,12.6,8.4,5.4
122,ZCTA5 00966,15981.0,1.4,12.2,11.5,11.0,6.4
123,ZCTA5 00968,3293.0,5.6,15.4,16.4,18.4,4.800000000000001
124,ZCTA5 00969,43372.0,1.5,13.7,12.3,7.7,5.1
125,ZCTA5 00971,28550.0,2.3,12.5,14.3,9.399999999999999,6.0
126,ZCTA5 00976,61084.0,1.4,12.2,11.4,9.4,4.5
127,ZCTA5 00979,15019.0,2.7,19.5,14.100000000000001,11.0,6.800000000000001
128,ZCTA5 00982,14874.0,2.5,12.2,10.8,7.8999999999999995,10.1
129,ZCTA5 00983,38533.0,1.7,12.7,10.7,10.8,6.0
130,ZCTA5 00985,33320.0,1.6,11.1,11.3,11.1,5.3
131,ZCTA5 00987,58705.0,1.0,12.899999999999999,9.8,7.9,4.6
132,ZCTA5 01001,17423.0,2.3,16.4,12.5,9.399999999999999,5.300000000000001
133,ZCTA5 01002,29970.0,0.9,7.0,8.3,6.1,2.7
134,ZCTA5 01003,11296.0,0.0,0.0,0.0,0.0,0.0
135,ZCTA5 01005,5228.0,0.5,11.399999999999999,18.2,11.5,2.5
136,ZCTA5 01007,14888.0,0.0,16.700000000000003,15.399999999999999,9.0,3.9000000000000004
137,ZCTA5 01008,1194.0,0.9,16.8,20.0,14.899999999999999,2.6
138,ZCTA5 01009,237.0,0.0,6.9,32.7,31.099999999999998,0.0
139,ZCTA5 01010,3718.0,0.5,22.6,18.0,8.9,4.1
140,ZCTA5 01011,1523.0,0.7,11.3,21.0,6.9,3.3
141,ZCTA5 01012,528.0,1.2,20.900000000000002,20.2,14.3,1.6
142,ZCTA5 01013,22943.0,1.7,14.899999999999999,8.7,7.6,2.9000000000000004
143,ZCTA5 01020,30629.0,1.5,14.6,15.8,11.4,4.8
144,ZCTA5 01022,2528.0,2.4,9.3,9.2,3.6999999999999997,6.699999999999999
145,ZCTA5 01026,1018.0,4.7,23.8,18.2,9.2,7.1
146,ZCTA5 01027,17872.0,0.7,15.2,16.6,10.3,5.5
147,ZCTA5 01028,16063.0,3.6,17.200000000000003,16.1,10.7,4.6
148,ZCTA5 01029,760.0,0.0,22.299999999999997,22.5,8.4,9.1
149,ZCTA5 01030,11278.0,1.0,16.4,17.200000000000003,11.4,2.9
150,ZCTA5 01031,1192.0,0.0,8.8,17.5,16.5,4.2
151,ZCTA5 01032,590.0,0.0,27.2,14.5,12.200000000000001,8.7
152,ZCTA5 01033,6310.0,1.4,17.799999999999997,22.4,7.199999999999999,3.7
153,ZCTA5 01034,2323.0,0.6,19.1,15.3,12.5,3.9000000000000004
154,ZCTA5 01035,5338.0,3.9,19.2,11.9,10.7,6.699999999999999
155,ZCTA5 01036,5190.0,2.0,17.7,17.6,12.799999999999999,8.0
156,ZCTA5 01037,755.0,0.0,10.899999999999999,17.0,15.7,2.7
157,ZCTA5 01038,2853.0,0.6,15.2,18.0,13.3,9.3
158,ZCTA5 01039,1194.0,0.7,9.7,28.0,12.0,4.3
159,ZCTA5 01040,40280.0,1.8,13.2,10.1,4.9,3.9000000000000004
160,ZCTA5 01050,2343.0,0.5,17.299999999999997,15.7,9.7,3.9
161,ZCTA5 01053,1697.0,3.7,17.2,14.3,8.8,7.5
162,ZCTA5 01054,1972.0,1.6,12.7,14.100000000000001,16.200000000000003,7.0
163,ZCTA5 01056,21352.0,2.1,14.100000000000001,17.9,7.7,4.6
164,ZCTA5 01057,8773.0,1.4,19.3,16.3,12.4,3.3
165,ZCTA5 01060,15407.0,2.1,15.899999999999999,12.2,8.8,2.5999999999999996
166,ZCTA5 01062,10867.0,0.8,13.399999999999999,15.6,10.5,4.9
167,ZCTA5 01063,563.0,0.0,0.0,0.0,0.0,0.0
168,ZCTA5 01066,12.0,0.0,0.0,0.0,0.0,100.0
169,ZCTA5 01068,1825.0,2.6,14.899999999999999,23.299999999999997,7.6000000000000005,1.9000000000000001
