,ZCTA,Score
0,ZCTA5 00601,0.06126305271667424
1,ZCTA5 00602,0.06370255178848204
2,ZCTA5 00603,0.06462400295932447
3,ZCTA5 00606,0.052981568655403495
4,ZCTA5 00610,0.06136863181557095
5,ZCTA5 00612,0.06936446233307805
6,ZCTA5 00616,0.06654958893256491
7,ZCTA5 00617,0.0644597412913148
8,ZCTA5 00622,0.061981038243819495
9,ZCTA5 00623,0.06499751043255902
10,ZCTA5 00624,0.0620802293953984
11,ZCTA5 00627,0.06670630800487892
12,ZCTA5 00631,0.055809927219175305
13,ZCTA5 00637,0.06593617466722144
14,ZCTA5 00638,0.06119712878118928
15,ZCTA5 00641,0.06394776833677045
16,ZCTA5 00646,0.07769742418562238
17,ZCTA5 00647,0.05602305028617688
18,ZCTA5 00650,0.0590867478712766
19,ZCTA5 00652,0.06691812321339882
20,ZCTA5 00653,0.057994021929657316
21,ZCTA5 00656,0.06250895683472345
22,ZCTA5 00659,0.06684075407810905
23,ZCTA5 00660,0.06729209065990702
24,ZCTA5 00662,0.06342252295204291
25,ZCTA5 00664,0.06655702528770772
26,ZCTA5 00667,0.05954844620532235
27,ZCTA5 00669,0.06056297370461842
28,ZCTA5 00670,0.06183886222428199
29,ZCTA5 00674,0.0682003770282038
30,ZCTA5 00676,0.06222166547545254
31,ZCTA5 00677,0.06838828656801822
32,ZCTA5 00678,0.06653045155824293
33,ZCTA5 00680,0.06289334431942013
34,ZCTA5 00682,0.06663915064286988
35,ZCTA5 00683,0.06353878534546602
36,ZCTA5 00685,0.06115527995757656
37,ZCTA5 00687,0.06076485379079039
38,ZCTA5 00688,0.0633593409122028
39,ZCTA5 00690,0.06511580716559895
40,ZCTA5 00692,0.06689698626290164
41,ZCTA5 00693,0.06601335273369795
42,ZCTA5 00694,0.05603364360898385
43,ZCTA5 00698,0.062083690696640124
44,ZCTA5 00703,0.06044158628656467
45,ZCTA5 00704,0.06454266973348664
46,ZCTA5 00705,0.0658284927736104
47,ZCTA5 00707,0.06416247421134899
48,ZCTA5 00714,0.059836935979446705
49,ZCTA5 00715,0.06442932137664935
50,ZCTA5 00716,0.07214387907463937
51,ZCTA5 00717,0.06268183772293842
52,ZCTA5 00718,0.06578367984789243
53,ZCTA5 00719,0.06612719051348467
54,ZCTA5 00720,0.06184039926784678
